pair_id,gt_found,gt_x,gt_y,total_cands,hit_1,hit_5,hit_10,hit_20,hit_50,hit_100,hit_200,hit_300,hit_500,hit_800,min_err_200,min_err_800
pair_050,1,523.0402884416775,624.2321491754209,291,False,False,False,False,True,True,True,True,True,True,4.413593588534842,4.413593588534842
pair_051,1,583.0687185699024,574.3139849533147,800,False,True,True,True,True,True,True,True,True,True,0.07994654472420085,0.07994654472420085
pair_052,1,580.7489974922584,537.8446461986192,293,False,True,True,True,True,True,True,True,True,True,3.30788039631027,3.30788039631027
pair_053,1,481.9060221764303,519.3259577042813,268,True,True,True,True,True,True,True,True,True,True,2.8277753634579295,0.33948164173784523
pair_054,1,524.3944849087668,385.2139829045786,800,True,True,True,True,True,True,True,True,True,True,0.03107512263620969,0.03107512263620969
pair_055,1,404.9636330057472,391.4923593167131,294,True,True,True,True,True,True,True,True,True,True,0.017479350904474722,0.017479350904474722
pair_056,1,503.63453564902574,449.4331566071532,800,False,False,False,False,False,False,False,False,False,False,10.49730739993365,10.49730739993365
pair_057,1,551.3003772449036,447.9003532222361,661,True,True,True,True,True,True,True,True,True,True,0.04796889916835409,0.04796889916835409
pair_058,1,409.69162392649287,578.3278051888444,800,False,False,False,False,False,False,False,False,False,False,6.0299716476550005,6.0299716476550005
pair_059,1,614.5899867242111,423.4540121109193,800,True,True,True,True,True,True,True,True,True,True,0.028232980226836072,0.028232980226836072
pair_060,1,560.1155584056785,517.980210360295,800,False,False,False,False,False,False,False,False,False,True,7.758945641509773,3.9580831871356352
pair_061,1,594.2687468898076,437.7733349522034,800,False,False,False,True,True,True,True,True,True,True,0.10144004149235405,0.10144004149235405
pair_062,1,317.90019451980305,581.77040896556,800,False,False,True,True,True,True,True,True,True,True,4.254311278354436,0.07207466603340221
pair_063,1,612.8646965251174,489.01816294065696,280,False,True,True,True,True,True,True,True,True,True,0.06951244686543405,0.06951244686543405
pair_064,1,556.2970362597354,454.8233314230886,280,False,False,False,False,False,False,False,True,True,True,5.031332335634949,0.3515829682468139
pair_065,1,373.6748610981225,603.5404455786567,284,False,False,True,True,True,True,True,True,True,True,0.11309455969316067,0.11309455969316067
pair_066,1,509.7991559709936,566.9947545087396,273,False,False,True,True,True,True,True,True,True,True,0.028155901008278243,0.028155901008278243
pair_067,1,528.9313262968036,440.8235571257104,781,False,True,True,True,True,True,True,True,True,True,0.044526344556882265,0.044526344556882265
pair_068,1,378.9976793534375,546.376157512448,800,False,False,False,False,False,False,False,False,False,False,5.512356694523849,5.503603343965517
pair_069,1,472.57143863891145,554.5628638967514,800,True,True,True,True,True,True,True,True,True,True,0.049233441984916235,0.049233441984916235
pair_070,1,533.9976049824504,486.68020968908655,314,False,False,False,False,False,True,True,True,True,True,3.4439482219601962,3.4439482219601962
pair_071,1,556.8229823160575,576.0862587087526,254,True,True,True,True,True,True,True,True,True,True,0.10587266526419045,0.10587266526419045
pair_072,1,418.7440317498672,627.2884436776022,307,False,False,False,True,True,True,True,True,True,True,4.643258182255751,4.643258182255751
pair_073,1,507.3263442179462,410.4344664899672,267,False,False,False,True,True,True,True,True,True,True,0.08360871138169249,0.08360871138169249
pair_074,1,551.0026516259751,562.9354725990652,271,False,True,True,True,True,True,True,True,True,True,0.05341126666406578,0.05341126666406578
pair_075,1,421.1876306684851,523.554354323216,800,False,False,False,False,False,False,False,False,False,False,13.741291370643294,12.242743741990662
pair_076,1,371.649968341773,387.4210639684029,800,False,False,False,False,False,False,False,False,False,True,5.570469664320949,4.43873269997782
pair_077,1,569.2138246861344,478.7272095418808,800,False,True,True,True,True,True,True,True,True,True,2.69543894792532,2.69543894792532
pair_078,1,587.4386831359992,533.0853517555572,276,False,False,True,True,True,True,True,True,True,True,0.10688021453061917,0.10688021453061917
pair_079,1,437.5161967751044,512.2563095857726,264,False,True,True,True,True,True,True,True,True,True,0.05658129330997558,0.05658129330997558
pair_080,1,401.0613179749196,456.57166489279024,800,False,False,False,True,True,True,True,True,True,True,0.048971366886401566,0.048971366886401566
pair_081,1,643.564896611024,625.3431765134626,463,False,True,True,True,True,True,True,True,True,True,0.03296492838495158,0.03296492838495158
pair_082,1,371.5852076185285,481.0603167121579,800,False,False,False,False,False,False,True,True,True,True,4.4770081001056345,4.4770081001056345
pair_083,1,450.98769089577416,638.523116826904,748,False,False,False,False,True,True,True,True,True,True,0.14871793707620287,0.14871793707620287
pair_084,1,457.6567004118978,550.1494366937269,800,False,False,False,True,True,True,True,True,True,True,0.04117663441951772,0.04117663441951772
