pair_id,set_type,gt_present,gt_rank,win_err,gt_corr_score,win_corr_score,c2_corr_score,c3_corr_score,diff_gt_win_corr_score,gt_psr,win_psr,c2_psr,c3_psr,diff_gt_win_psr,gt_phase_residual,win_phase_residual,c2_phase_residual,c3_phase_residual,diff_gt_win_phase_residual,gt_phase_penalty,win_phase_penalty,c2_phase_penalty,c3_phase_penalty,diff_gt_win_phase_penalty,gt_context_32,win_context_32,c2_context_32,c3_context_32,diff_gt_win_context_32,gt_context_64,win_context_64,c2_context_64,c3_context_64,diff_gt_win_context_64,gt_context_128,win_context_128,c2_context_128,c3_context_128,diff_gt_win_context_128,gt_context_combined,win_context_combined,c2_context_combined,c3_context_combined,diff_gt_win_context_combined,gt_ssd,win_ssd,c2_ssd,c3_ssd,diff_gt_win_ssd,gt_dist_to_center,win_dist_to_center,c2_dist_to_center,c3_dist_to_center,diff_gt_win_dist_to_center,gt_nearest_edge_dist,win_nearest_edge_dist,c2_nearest_edge_dist,c3_nearest_edge_dist,diff_gt_win_nearest_edge_dist,gt_nearest_cut_dist,win_nearest_cut_dist,c2_nearest_cut_dist,c3_nearest_cut_dist,diff_gt_win_nearest_cut_dist,gt_row_spacing,win_row_spacing,c2_row_spacing,c3_row_spacing,diff_gt_win_row_spacing,gt_col_spacing,win_col_spacing,c2_col_spacing,c3_col_spacing,diff_gt_win_col_spacing,gt_local_density,win_local_density,c2_local_density,c3_local_density,diff_gt_win_local_density,gt_family_population,win_family_population,c2_family_population,c3_family_population,diff_gt_win_family_population
pair_000,SetA,0,-1,242.502715565361,,0.840872585773468,0.839837908744812,0.8382015824317932,,,2.8378562927246094,2.745025873184204,2.736921548843384,,,0.06407401710748672,0.06151045486330986,0.0789584144949913,,,0.05,0.05,0.05,,,0.7310169625742551,0.7273496745389753,0.7323838901990853,,,0.686364354569052,0.6827540413772114,0.6848201304860334,,,0.6687271432217669,0.6656093323347351,0.6691603767839079,,,0.6882399916311785,0.6848152843925737,0.6880689809477936,,,2202.4560546875,2309.87890625,2277.62353515625,,,160.17802595861892,350.65652710308984,120.0,,,0.0,0.0,1.0,,,2.23606797749979,2.23606797749979,2.23606797749979,,,3.0,270.0,269.0,,,11.0,11.0,10.0,,,80.55224609375,79.165283203125,79.636962890625,,,13,19,18,
pair_001,SetA,1,1,0.15627747241540102,0.8823164701461792,0.8823164701461792,0.8718640804290771,0.8722559809684753,0.0,2.7388968467712402,2.7388968467712402,2.705249547958374,2.695727825164795,0.0,0.11515791714191437,0.11515791714191437,0.08824604749679565,0.08775429427623749,0.0,0.05,0.05,0.05,0.05,0.0,0.8498887679767699,0.8498887679767699,0.860231808415843,0.8440813269384622,0.0,0.7947987321160288,0.7947987321160288,0.7789833409533411,0.8103533586896315,0.0,0.8070926984426683,0.8070926984426683,0.8465009711173231,0.7640622206179947,0.0,0.8107343258188329,0.8107343258188329,0.8222400865114343,0.798582497110743,0.0,1784.3585205078125,1784.3585205078125,1820.96630859375,1876.4871826171875,0.0,128.4854077317732,128.4854077317732,150.50747489742827,25.739075352467502,0.0,1.5811388300841898,1.5811388300841898,1.5811388300841898,0.7071067811865476,0.0,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,97.681640625,97.681640625,99.05224609375,97.9033203125,0.0,50.0,50,50,50,0.0
pair_003,SetA,0,-1,425.8677507626226,,0.8644014596939087,0.8641913533210754,0.864043653011322,,,1.7928823232650757,1.7866802215576172,1.756475806236267,,,0.03895130753517151,0.04879966750741005,0.038838937878608704,,,0.16249999999999998,0.05,0.05,,,0.8408337685474311,0.8357007946376058,0.8324882895326884,,,0.8394744584315583,0.8393020148042311,0.8404662266676223,,,0.8417818638043578,0.8389413987825585,0.8407524556340565,,,0.8406692826038527,0.8384375243622371,0.8389851308272094,,,1936.3056640625,1942.1826171875,1946.9716796875,,,453.76645975655805,174.0028735394907,154.77725931156684,,,1.0,1.0,1.0,,,4.0,4.123105625617661,4.0,,,29.0,2.0,2.0,,,29.0,2.0,2.0,,,115.115234375,115.433349609375,115.091796875,,,3,9,24,
pair_005,SetA,0,-1,26.38560718079196,,0.8726896047592163,0.8728696703910828,0.868390679359436,,,1.9162007570266724,1.8662601709365845,1.9137247800827026,,,0.044068291783332825,0.038247767835855484,0.04595113545656204,,,0.05,0.0875,0.125,,,0.6950503662273401,0.714430358280421,0.7336337030241131,,,0.6113302021170289,0.5938169167918217,0.7157777943609479,,,0.7885744505749765,0.7801781718855871,0.7581322210399914,,,0.6989719343222702,0.6924841071270478,0.7362907467651985,,,1920.154541015625,1892.2716064453125,2001.49365234375,,,129.89418770676386,312.82982594375494,322.43526482070786,,,0.7071067811865476,2.1213203435596424,0.7071067811865476,,,4.527692569068709,4.527692569068709,4.527692569068709,,,10.0,10.0,10.0,,,211.0,410.0,0.0,,,114.337646484375,115.9853515625,114.154052734375,,,11,13,4,
pair_007,SetA,1,34,157.0744460553237,0.849291205406189,0.8614166378974915,0.8613082766532898,0.8594587445259094,-0.01212543249130249,2.3040175437927246,2.3414292335510254,2.3405635356903076,2.4118573665618896,-0.03741168975830078,0.07133395224809647,0.061393044888973236,0.034763701260089874,0.041205305606126785,0.00994090735912323,0.05,0.05,0.05,0.05,0.0,0.7449420047438757,0.731639017080392,0.7808414829014978,0.7430246601961046,0.0133029876634837,0.7754373290554021,0.7989910559271398,0.7837459659463832,0.8005919915745455,-0.023553726871737735,0.8135914172317772,0.830109541339212,0.8221887283655461,0.8301859246131394,-0.016518124107434806,0.7845998994636469,0.7979680423226192,0.7985421743050714,0.8009160985142949,-0.013368142858972254,1901.9063720703125,1792.481689453125,1803.637451171875,1797.0264892578125,109.4246826171875,93.7709976485267,250.00199999200007,261.00766272276377,213.00938946440834,-156.23100234347336,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,11.0,11.0,6.0,8.0,0.0,2.0,2.0,2.0,2.0,0.0,116.630859375,116.98583984375,116.8671875,117.11767578125,-0.35498046875,5.0,16,16,16,-11.0
pair_012,SetA,1,14,177.59926317772798,0.8039388656616211,0.821050226688385,0.8174782991409302,0.8079636096954346,-0.017111361026763916,2.629101514816284,2.6907403469085693,2.6702563762664795,2.6426479816436768,-0.061638832092285156,0.06337057799100876,0.07748426496982574,0.06269907206296921,0.04678437113761902,-0.014113686978816986,0.05,0.05,0.05,0.16249999999999998,0.0,0.7632597295556148,0.7193223169749418,0.6748773137800252,0.6613129205469944,0.043937412580673074,0.6877297175083943,0.8247063589647932,0.8177689024201042,0.8009594367284926,-0.13697664145639887,0.6376887109163724,0.8141139608726504,0.8187001640519159,0.7990404126894003,-0.17642524995627806,0.6828193172810297,0.7993925913299659,0.7895630893448131,0.7722625238765561,-0.11657327404893614,2446.197509765625,2312.71435546875,2329.08251953125,2357.49365234375,133.483154296875,90.53452380169678,173.75989180475452,196.90733861387696,426.1695671912766,-83.22536800305774,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.0,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.0,2.0,2.0,2.0,2.0,0.0,18.0,2.0,2.0,2.0,16.0,80.55810546875,81.1064453125,81.249755859375,81.55126953125,-0.54833984375,11.0,23,23,8,-12.0
pair_013,SetA,1,1,0.2978703643747182,0.8775079250335693,0.8775079250335693,0.8703333735466003,0.869143545627594,0.0,2.2005858421325684,2.2005858421325684,2.1553142070770264,2.1543076038360596,0.0,0.12003873288631439,0.12003873288631439,0.041633568704128265,0.04951801896095276,0.0,0.05,0.05,0.1662132317597294,0.05,0.0,0.6677576273265134,0.6677576273265134,0.7191957977797889,0.7650207292819773,0.0,0.7536428188798707,0.7536428188798707,0.7133623932699823,0.675854149074691,0.0,0.6775381342724918,0.6775381342724918,0.7543950596933591,0.7980467872065161,0.0,0.7060239067262477,0.7060239067262477,0.7309421407412944,0.7425645203688783,0.0,1762.365966796875,1762.365966796875,1756.0985107421875,1684.6741943359375,0.0,100.53108971855423,100.53108971855423,153.6310515488324,430.5653260540147,0.0,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,0.0,3.5355339059327378,3.5355339059327378,3.5355339059327378,2.9154759474226504,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,115.4404296875,115.4404296875,115.9375,116.4482421875,0.0,1.0,1,11,1,0.0
pair_016,SetA,1,37,267.3752333480974,0.7733441591262817,0.8069173097610474,0.8090254664421082,0.8089030981063843,-0.033573150634765625,2.4301533699035645,2.5817618370056152,2.55905818939209,2.5563249588012695,-0.15160846710205078,0.061823826283216476,0.07657739520072937,0.04321954771876335,0.06796642392873764,-0.014753568917512894,0.05,0.16249999999999998,0.16249999999999998,0.16249999999999998,-0.11249999999999998,0.1786592254204508,0.7749047168382428,0.4805349745494748,0.39184882163427204,-0.596245491417792,0.678594243658577,0.536454536340721,0.5411461741091141,0.6477718992848659,0.14213970731785597,0.5270889538918512,0.6057947218495067,0.6889118254460144,0.5985355709718965,-0.07870576795765549,0.5180051241042615,0.6118806466437396,0.5881301947319464,0.5768927524295594,-0.09387552253947817,2490.399658203125,2398.31005859375,2363.49462890625,2382.8291015625,92.089599609375,89.37840902589394,354.0939140962465,79.74020316001207,102.98786336263123,-264.7155050703526,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.0,0.7071067811865476,0.7071067811865476,3.5355339059327378,0.7071067811865476,0.0,2.0,2.0,2.0,2.0,0.0,7.0,3.0,2.0,3.0,4.0,91.28271484375,91.320556640625,91.292236328125,91.23046875,-0.037841796875,47.0,47,47,47,0.0
pair_017,SetA,0,-1,396.92505724367516,,0.8255913257598877,0.8224427700042725,0.8217110633850098,,,1.7190861701965332,1.7163233757019043,1.758275032043457,,,0.03480927646160126,0.033124860376119614,0.04384845122694969,,,0.2,0.0875,0.05,,,0.8408903195851422,0.8271046414518338,0.8289466332890099,,,0.7634809591171041,0.7560524522336328,0.7577940163894945,,,0.7974462681124493,0.7926992138712297,0.794265535986082,,,0.7925489548088499,0.7849215947323118,0.7866131476080327,,,2134.488037109375,2297.657958984375,2120.05859375,,,457.98799110893725,247.8911051248108,386.7453942841466,,,1.0,1.0,1.4142135623730951,,,0.0,1.0,0.0,,,14.0,13.0,175.0,,,13.0,670.0,184.0,,,109.28466796875,107.328369140625,110.43603515625,,,8,8,4,
pair_018,SetA,0,-1,521.742257615316,,0.829234778881073,0.8291390538215637,0.8288217186927795,,,2.1506223678588867,2.1813440322875977,2.1634140014648438,,,0.03883111849427223,0.037109680473804474,0.04245251417160034,,,0.05,0.2,0.2,,,0.609941720411106,0.5814318701626427,0.5785607787356812,,,0.8064833846672496,0.8018268560497412,0.8009518365947036,,,0.7971157880791954,0.7972382574526895,0.7963526825291659,,,0.7634280131807992,0.755912419433501,0.7546339633966841,,,2260.76123046875,2424.2880859375,2417.903564453125,,,587.2567581560896,240.9616152004298,445.6282082633459,,,0.7071067811865476,0.7071067811865476,0.7071067811865476,,,2.1213203435596424,2.1213203435596424,2.1213203435596424,,,8.0,6.0,0.0,,,0.0,418.0,0.0,,,97.733154296875,94.991455078125,95.44482421875,,,2,3,1,
