pair_id,rank,cx,cy,gterr,corr_score,psr,context_combined,grad_ncc,phase_penalty,neigh_cons,family,dist_to_center,v25
v00000,1,301.0,504.0,0.840013553340837,0.9585546851158142,0.0,0.9533171909274314,0.8541409373283386,0.0,0.0,187,199.04019694524018,0.48787426782300897
v00000,2,413.0,510.0,112.86865945259186,0.587615966796875,0.0,0.5560559959833871,0.46800485253334045,0.05,0.0,187,87.5728268357257,0.3990017858322296
v00000,3,569.0,517.0,269.020352035512,0.5722231864929199,0.0,0.542585102949033,0.4382757842540741,0.05885254915624212,0.0,187,71.06335201775947,0.3517388344767296
v00000,4,369.0,508.0,68.82852816602393,0.5846083164215088,0.0,0.5542746342033713,0.45841503143310547,0.05,0.0,187,131.24404748406687,0.3121986665985412
v00000,5,624.0,520.0,324.10168215370726,0.6980311870574951,0.0,0.7586140769141267,0.3861081302165985,0.05,0.0,187,125.60254774486066,0.30512563488177225
v00000,6,491.0,514.0,190.9702401347258,0.5728117823600769,0.0,0.546846955653016,0.46141281723976135,0.05,0.0,187,16.64331697709324,0.2993564374011771
v00000,7,469.0,512.0,168.89543356840394,0.5795523524284363,0.0,0.5508403735594054,0.44048094749450684,0.05,0.0,187,33.24154027718932,0.28097350134747756
v00000,8,424.0,510.0,123.85207191145133,0.5852000117301941,0.0,0.5550804306341647,0.4650499224662781,0.05,0.0,187,76.6550715869472,0.2687429838267025
v00000,9,358.0,507.0,57.78740105830428,0.5834718346595764,0.0,0.5639938669294425,0.4168395698070526,0.05,0.0,187,142.1724305201258,0.2572534505202072
v00000,10,525.0,515.0,224.97551380580694,0.5777735114097595,0.0,0.554949623275673,0.4456561505794525,0.05,0.0,187,29.154759474226502,0.23593558545756782
v00000,11,503.0,514.0,202.95319118857142,0.5757399201393127,0.0,0.5521267022170173,0.42963743209838867,0.05,0.0,187,14.317821063276353,0.23593558545756782
v00000,12,514.0,515.0,213.99060816319175,0.5778287649154663,0.0,0.5549953662235534,0.45293301343917847,0.05,0.0,187,20.518284528683193,0.23593558545756782
v00000,13,536.0,516.0,236.01263606132335,0.5810468792915344,0.0,0.5531678991461115,0.46851393580436707,0.05,0.0,187,39.395431207184416,0.22091787435273244
v00000,14,547.0,516.0,246.99790649061953,0.5773259997367859,0.0,0.5520944661675733,0.45480892062187195,0.05,0.0,187,49.64876634922564,0.22091787435273244
v00000,15,391.0,509.0,90.84795147972876,0.5918212532997131,0.0,0.5619323350129519,0.4873373508453369,0.05,0.0,187,109.37092849564732,0.20047980843250404
v00000,16,380.0,508.0,79.80831861175443,0.5951976180076599,0.0,0.5642551597344252,0.47765058279037476,0.05,0.0,187,120.26637102698326,0.19958083593423126
v00000,17,436.0,511.0,135.88849124029227,0.587113618850708,0.0,0.5598187653738207,0.4598149061203003,0.05,0.0,187,64.93843238021688,0.18108489987263715
v00000,18,447.0,511.0,146.87301822219473,0.5827319025993347,0.0,0.55669929184599,0.4354986548423767,0.05,0.0,187,54.12947441089743,0.151016297393935
v00000,19,480.0,513.0,179.93234853323898,0.5872944593429565,0.0,0.5577384458218329,0.474380224943161,0.05,0.0,187,23.853720883753127,0.14533579872864588
v00000,20,402.0,509.0,101.83001383775468,0.5909398198127747,0.0,0.5598271171133367,0.47546276450157166,0.05,0.0,187,98.41239759298622,0.14453420573207754
v00001,1,469.5,653.5,,0.3990107774734497,0.0,0.49885481910797236,0.12249687314033508,0.05,0.38486088812351227,177,156.50079872000654,0.48634375601878754
v00001,2,496.5,650.5,,0.40065279603004456,0.0,0.4694423258994034,0.09154409915208817,0.05,0.3585938513278961,177,150.54069217324596,0.48304179227137994
v00001,3,487.5,651.5,,0.3996436297893524,0.0,0.49868505469385227,0.10145344585180283,0.05885254915624212,0.38135792315006256,177,152.01480191086657,0.4109381370121425
v00001,4,460.5,654.5,,0.3968055248260498,0.0,0.48496669687722216,0.13422615826129913,0.05,0.3818961977958679,177,159.46943280767007,0.3605298787209606
v00001,5,478.5,652.5,,0.3992588222026825,0.0,0.4783665230716012,0.11312256753444672,0.05,0.38785944879055023,177,154.00811666921973,0.34875845580724046
v00001,6,435.5,313.5,,0.41026994585990906,0.0,0.49293275901467837,0.1564076840877533,0.05,0.37902744114398956,177,197.3385415979352,0.1692386596291924
v00001,7,441.5,655.5,,0.39550504088401794,0.0,0.4958096196511751,0.10286436229944229,0.05,0.3871835023164749,177,166.14000120380402,0.1615698938693246
v00001,8,502.5,650.5,,0.3956988751888275,0.0,0.48007608111371897,0.11337636411190033,0.0875,0.35158146917819977,177,150.52076268741132,0.15265254841880696
v00001,9,451.5,654.5,,0.39578941464424133,0.0,0.47696868959324934,0.09194187819957733,0.05,0.3872673064470291,177,161.93362837903683,0.14796063968044046
v00001,10,432.5,656.5,,0.3960641622543335,0.0,0.47663325233662235,0.11093750596046448,0.05,0.3853502422571182,177,170.43620507392203,0.12922747428293507
