pair_id,set_type,dist_to_replica,delta_corr_score,gt_corr_score,replica_corr_score,delta_fft_gradient_score,gt_fft_gradient_score,replica_fft_gradient_score,delta_psr,gt_psr,replica_psr,delta_peak_margin,gt_peak_margin,replica_peak_margin,delta_context_32,gt_context_32,replica_context_32,delta_context_64,gt_context_64,replica_context_64,delta_context_128,gt_context_128,replica_context_128,delta_phase_residual,gt_phase_residual,replica_phase_residual,delta_template_residual,gt_template_residual,replica_template_residual,delta_center_prior,gt_center_prior,replica_center_prior,delta_score_combined,gt_score_combined,replica_score_combined
pair_001,SetA,137.00364958642524,0.010060489177703857,0.8823164701461792,0.8722559809684753,0.01904594898223877,0.7000815868377686,0.6810356378555298,0.04316902160644487,2.73889684677124,2.695727825164795,0.0096685886383057,0.0100604891777038,0.0003919005393981,0.00580744103830777,0.8498887679767699,0.8440813269384622,-0.015554626573602737,0.7947987321160288,0.8103533586896315,0.04303047782467362,0.8070926984426683,0.7640622206179947,0.027403622865676894,0.1151579171419143,0.0877542942762374,-92.128662109375,1784.3585205078125,1876.4871826171875,102.74633237930568,128.4854077317732,25.739075352467506,-0.004216596980711862,0.8608080972015991,0.865024694182311
pair_008,SetA,20.024984394500787,-0.0027822256088256836,0.7800099849700928,0.7827922105789185,-0.0011739730834960938,0.6461989879608154,0.6473729610443115,-0.0069942474365234375,2.3930580615997314,2.400052309036255,-0.001909732818603491,5.859136581420898e-05,0.0019683241844177,-0.34465144560298167,0.1640782408082302,0.5087296864112119,-0.018643108924089158,0.569802982204701,0.5884460911287902,-0.07732322925581525,0.5690736336292302,0.6463968628850455,0.0132828056812287,0.0453764162957668,0.0320936106145381,15.720947265625,2470.732177734375,2455.01123046875,-17.65184231289726,88.61433292645158,106.26617523934884,-0.0479177168331375,0.5684701965010445,0.616387913334182
pair_009,SetA,26.019223662515376,0.006619751453399658,0.8905602693557739,0.8839405179023743,0.02204376459121704,0.6799891591072083,0.6579453945159912,0.019017696380615234,2.2868921756744385,2.2678744792938232,0.0014334321022034001,0.0021157264709472,0.0006822943687438,0.03946221557850893,0.7625937869884385,0.7231315714099296,0.025782649220073006,0.7518645713984116,0.7260819221783386,0.018944865090085306,0.8156888111387918,0.7967439460487065,0.032817728817463004,0.1106034442782402,0.0777857154607772,-31.207275390625,1815.4139404296875,1846.6212158203125,18.14905709452313,94.17536832951598,76.02631123499285,0.014033482136336595,0.8557382039494958,0.8417047218131593
pair_010,SetA,198.72845795205075,0.0027686357498168945,0.7105246186256409,0.707755982875824,-0.01832994818687439,0.4667903482913971,0.4851202964782715,0.06707262992858842,3.003897428512573,2.9368247985839844,0.0010773539543151,0.0027686357498168,0.0016912817955017,-0.5152305044286996,-0.0459746965576347,0.4692558078710648,-0.014754000422226077,0.4770523643506958,0.4918063647729219,0.2271537646897066,0.6757498141827971,0.4485960494930905,-0.012976154685020398,0.0540090799331665,0.0669852346181869,8.9970703125,2110.13818359375,2101.14111328125,-166.35242558861322,146.03595447697117,312.3883800655844,0.01926239792286466,0.5735921686359046,0.5543297707130399
pair_011,SetA,183.44754018519845,0.005357265472412109,0.8794574737548828,0.8741002082824707,0.0038862228393554688,0.6166670918464661,0.6127808690071106,-0.037312984466552734,2.4974281787872314,2.534741163253784,0.0008056759834290002,0.0011930465698242,0.0003873705863952,0.026105748688144303,0.8720370288685199,0.8459312801803756,0.0069349429619691705,0.8552419836665083,0.8483070407045391,0.015232302257406793,0.8400917382351734,0.8248594359777666,0.06362152844667432,0.1700401455163955,0.1064186170697212,-33.20678710937477,1906.4244384765625,1939.6312255859373,-4.11317680971564,107.71258050942797,111.8257573191436,0.06097620103464174,0.9332859499191272,0.8723097488844854
pair_012,SetA,16.0312195418814,-0.0053910017013549805,0.8039388656616211,0.8093298673629761,-0.017171204090118408,0.6500330567359924,0.6672042608261108,-0.023849964141845703,2.629101514816284,2.65295147895813,-0.00015199184417720002,0.0008238554000854,0.0009758472442626,0.146700709790491,0.7632597295556148,0.6165590197651238,0.4025811567179446,0.6877297175083943,0.2851485607904497,0.45039835291875147,0.6376887109163724,0.1872903579976209,-0.007067009806632996,0.0633705779910087,0.0704375877976417,9.010986328125,2446.197509765625,2437.1865234375,-6.028926840872941,90.53452380169678,96.56345064256972,0.18293636454092443,0.7550155273493332,0.5720791628084088
pair_013,SetA,180.92263539977523,0.00957024097442627,0.8775079250335693,0.8679376840591431,0.022875726222991943,0.7032737731933594,0.6803980469703674,-0.04118561744689986,2.2005858421325684,2.241771459579468,0.0048866271972656,0.0050548315048217,0.0001682043075561,-0.06398794158758248,0.6677576273265134,0.7317455689140959,0.03770119463281585,0.7536428188798707,0.7159416242470549,-0.11534121142881781,0.6775381342724918,0.7928793457013096,0.06356388330459589,0.1200387328863143,0.0564748495817184,-26.0029296875,1762.365966796875,1788.368896484375,-35.969826029289734,100.53108971855424,136.50091574784398,0.10217791964871126,0.8099949349789193,0.707817015330208
pair_019,SetA,19.026297590440446,-0.01854926347732544,0.8684737682342529,0.8870230317115784,-0.08851152658462524,0.5631376504898071,0.6516491770744324,0.10045123100280762,2.678004741668701,2.5775535106658936,-0.0013584494590759,0.0005391240119934,0.0018975734710693,-0.0739665265551045,0.7429069446928105,0.816873471247915,-0.020781492928242273,0.850990670491774,0.8717721634200163,-0.020955046149116696,0.8397370768612332,0.8606921230103499,0.06645901128649712,0.1109637022018432,0.0445046909153461,127.56103515625,1977.8726806640625,1850.3116455078125,-13.753684769990159,54.48853090330111,68.24221567329127,-0.02488103861141233,0.871260465050347,0.8961415036617594
pair_021,SetA,143.0034964607509,0.02073723077774048,0.8821737170219421,0.8614364862442017,0.019382178783416748,0.7062627673149109,0.6868805885314941,0.02898883819580078,2.494420289993286,2.4654314517974854,0.016296148300170902,0.0170509219169616,0.0007547736167907,0.00793035848060264,0.8042534947495303,0.7963231362689277,0.020434982286770098,0.7841765282948894,0.7637415460081193,0.017111930395830255,0.8370763420961066,0.8199644117002763,0.09397120028734199,0.1445286571979522,0.0505574569106102,-191.3427734375,1727.4962158203125,1918.8389892578125,-69.26827922714287,47.4236228055175,116.69190203266037,0.03206034349007658,0.8729967797589905,0.8409364362689139
pair_022,SetA,51.03920062069938,0.05926632881164551,0.686416745185852,0.6271504163742065,0.08422422409057623,0.5250189900398254,0.4407947659492492,0.17522811889648482,3.017547607421875,2.84231948852539,0.026061773300170902,0.0279953479766845,0.0019335746765136,0.026233959187371036,0.5067666814374621,0.480532722250091,0.18897759700710504,0.6711242322414864,0.4821466352343814,0.23806531385366325,0.743849204365379,0.5057838905117158,0.0474811419844628,0.1004214808344841,0.0529403388500213,62.176513671875,2363.052734375,2300.876220703125,45.347283759143465,156.30898886500418,110.96170510586072,0.19199944754813147,0.6649211941136316,0.4729217465655001
