pair_id,candidate_id,cx,cy,corr_score,fft_intensity_score,fft_gradient_score,peak_margin,psr,context_32,context_64,context_128,phase_dx,phase_dy,phase_residual,scale_consistency,rotation_consistency,periodicity_distance,periodicity_index,template_residual,edge_similarity,center_prior,PACE_score,score_combined,correct
pair_000,0,576.0,641.0,0.840872585773468,0.840872585773468,0.7189547419548035,0.001034677028656,2.8378562927246094,0.7310169625742551,0.686364354569052,0.6687271432217669,0.0,0.0,0.0640740171074867,0.0,0.0,0.0,0.7165752187874497,2202.4560546875,0.0,160.17802595861892,1.0028538703918457,0.7691561141802918,0
pair_000,1,568.0,156.0,0.839837908744812,0.839837908744812,0.7213903665542603,0.0007509589195251,2.745025873184204,0.7273496745389753,0.6827540413772114,0.6656093323347351,0.0,0.0,0.0615104548633098,0.0,0.0,0.0,0.7165752187874497,2309.87890625,0.0,350.65652710308984,1.0014116764068604,0.7363344863447472,0
pair_000,2,577.0,695.0,0.8390869498252869,0.8390869498252869,0.709982693195343,0.0008853673934936,2.727231740951538,0.6928346907265605,0.618583154571013,0.6010283123043213,0.0,0.0,0.0704404115676879,0.0,0.0,0.0,0.7165752187874497,2186.435546875,0.0,209.65209276322523,1.0003654956817627,0.7292341421727913,0
pair_000,3,572.0,404.0,0.8382015824317932,0.8382015824317932,0.717552900314331,0.0014187097549438,2.736921548843384,0.7323838901990853,0.6848201304860334,0.6691603767839079,0.0,0.0,0.0789584144949913,0.0,0.0,0.0,0.7165752187874497,2277.62353515625,0.0,120.0,0.9991368055343628,0.7738662261325424,0
pair_000,4,569.0,210.0,0.8367828726768494,0.8367828726768494,0.7084417343139648,0.0063436031341552,2.733689308166504,0.6984304563726836,0.627471768833808,0.6018595538022651,0.0,0.0,0.0692516416311264,0.0,0.0,0.0,0.7165752187874497,2302.517822265625,0.0,298.0956222422597,0.997161626815796,0.7161783770894098,0
pair_000,5,573.0,458.0,0.8304392695426941,0.8304392695426941,0.6963496208190918,0.0016543865203857,2.7002923488616943,0.7012231389209025,0.6198551018678687,0.5995078012811175,0.0,0.0,0.0552013292908668,0.0,0.0,0.0,0.7165752187874497,2293.47607421875,0.0,84.21995013059554,0.9883427619934082,0.7448067582318119,0
pair_000,6,569.0,226.0,0.8287848830223083,0.8287848830223083,0.7051793336868286,0.0002686977386474,2.7030184268951416,0.789704502595621,0.7504005171683141,0.7333827432377741,0.0,0.0,0.0643236637115478,0.0,0.0,0.0,0.7165752187874497,2342.967041015625,0.0,282.55441953719287,0.9860606789588928,0.7737956910426945,0
pair_000,7,567.0,102.0,0.8285161852836609,0.8285161852836609,0.7001069188117981,0.0001165270805358,2.793414354324341,0.7791900807350383,0.7362750874527548,0.7251845580095708,1.0,0.0,0.0442376621067523,0.0,0.0,0.0,0.7165752187874497,2380.40283203125,0.0,403.6000495540108,0.9856688380241394,0.7487465289210888,0
pair_000,8,298.0,209.0,0.828399658203125,0.828399658203125,0.700946033000946,0.0003743767738342,2.6922178268432617,0.7117572794781315,0.6817616858891773,0.6658941565581917,0.0,0.0,0.0447933711111545,0.0,0.0,0.0,0.7165752187874497,2315.87060546875,0.0,354.2386201418473,0.9855135083198548,0.7270696269817423,0
pair_000,9,577.0,711.0,0.8280252814292908,0.8280252814292908,0.7095987200737,0.0009499788284301,2.789961576461792,0.7834196884396665,0.7455100241362643,0.7328451463981336,0.0,0.0,0.0626132637262344,0.0,0.0,0.0,0.7165752187874497,2187.243408203125,0.0,224.610774452162,0.9849857091903688,0.7808867764883751,0
