model,threshold,test_loc_s,test_set_a,test_set_b,test_pose_s,test_f1,test_rej_s,test_cal_auc,test_cal_s,test_present_recall,test_n_found_1,test_n_found_0,test_total
V21_T0.58,0.58,4.914285714285715,18.571428571428573,7.142857142857142,19.583333333333332,0.3888888888888889,5.833333333333333,0.5321219987021415,5.321219987021415,0.45714285714285713,76,104,50.65217236797379
V22_T0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,0.0,36,0,20.0
