Total Score,Localization (40),Pose (20),Rejection (15),Calibration (10),Efficiency (5),Docs (10),Rejection F1,Calibration AUC,PRESENT recall,Set B <= 5px,Threshold
50.116919844861016,5.428571428571428,19.625,5.294117647058824,4.769230769230769,5.0,10.0,0.35294117647058826,0.4769230769230769,0.2857142857142857,0.07142857142857142,0.05
51.14448051948052,5.428571428571428,19.625,6.0,5.090909090909092,5.0,10.0,0.4,0.5090909090909091,0.2857142857142857,0.07142857142857142,0.1
38.046245421245416,3.8571428571428568,8.625,5.833333333333333,4.73076923076923,5.0,10.0,0.3888888888888889,0.473076923076923,0.25,0.0,0.15000000000000002
39.09590207090207,3.8571428571428568,8.625,6.486486486486487,5.127272727272727,5.0,10.0,0.43243243243243246,0.5127272727272727,0.25,0.0,0.2
39.09590207090207,3.8571428571428568,8.625,6.486486486486487,5.127272727272727,5.0,10.0,0.43243243243243246,0.5127272727272727,0.25,0.0,0.25
37.18681318681318,2.571428571428571,9.0,6.0,4.615384615384615,5.0,10.0,0.4,0.46153846153846145,0.14285714285714285,0.0,0.3
35.131142369624754,1.2857142857142856,9.0,5.853658536585366,3.9917695473251023,5.0,10.0,0.3902439024390244,0.39917695473251025,0.10714285714285714,0.0,0.35000000000000003
35.131142369624754,1.2857142857142856,9.0,5.853658536585366,3.9917695473251023,5.0,10.0,0.3902439024390244,0.39917695473251025,0.10714285714285714,0.0,0.4
35.131142369624754,1.2857142857142856,9.0,5.853658536585366,3.9917695473251023,5.0,10.0,0.3902439024390244,0.39917695473251025,0.10714285714285714,0.0,0.45
35.131142369624754,1.2857142857142856,9.0,5.853658536585366,3.9917695473251023,5.0,10.0,0.3902439024390244,0.39917695473251025,0.10714285714285714,0.0,0.5
23.751038205980066,0.0,0.0,5.5813953488372094,3.1696428571428568,5.0,10.0,0.37209302325581395,0.3169642857142857,0.03571428571428571,0.0,0.55
23.751038205980066,0.0,0.0,5.5813953488372094,3.1696428571428568,5.0,10.0,0.37209302325581395,0.3169642857142857,0.03571428571428571,0.0,0.6000000000000001
23.62418831168831,0.0,0.0,5.454545454545455,3.1696428571428568,5.0,10.0,0.36363636363636365,0.3169642857142857,0.0,0.0,0.6500000000000001
23.62418831168831,0.0,0.0,5.454545454545455,3.1696428571428568,5.0,10.0,0.36363636363636365,0.3169642857142857,0.0,0.0,0.7000000000000001
23.62418831168831,0.0,0.0,5.454545454545455,3.1696428571428568,5.0,10.0,0.36363636363636365,0.3169642857142857,0.0,0.0,0.7500000000000001
23.62418831168831,0.0,0.0,5.454545454545455,3.1696428571428568,5.0,10.0,0.36363636363636365,0.3169642857142857,0.0,0.0,0.8
23.62418831168831,0.0,0.0,5.454545454545455,3.1696428571428568,5.0,10.0,0.36363636363636365,0.3169642857142857,0.0,0.0,0.8500000000000001
23.62418831168831,0.0,0.0,5.454545454545455,3.1696428571428568,5.0,10.0,0.36363636363636365,0.3169642857142857,0.0,0.0,0.9000000000000001
23.62418831168831,0.0,0.0,5.454545454545455,3.1696428571428568,5.0,10.0,0.36363636363636365,0.3169642857142857,0.0,0.0,0.9500000000000001
