threshold,val_total,val_loc,val_rej_f1,val_PR,val_n1
0.1,45.63970588235294,1.375,0.0,1.0,36
0.12,45.63970588235294,1.375,0.0,1.0,36
0.14,45.63970588235294,1.375,0.0,0.96875,35
0.16,47.024350649350644,1.375,0.28571428571428575,0.9375,33
0.18,47.024350649350644,1.375,0.28571428571428575,0.9375,33
0.2,46.48863636363636,1.375,0.25,0.90625,32
0.22,46.48863636363636,1.375,0.25,0.90625,32
0.24,46.48863636363636,1.375,0.25,0.90625,32
0.26,46.071969696969695,1.375,0.22222222222222224,0.875,31
0.28,45.46590909090909,1.375,0.18181818181818182,0.8125,29
0.3,45.046328671328666,1.375,0.15384615384615383,0.75,27
0.32,44.73863636363636,1.375,0.13333333333333333,0.6875,25
0.34,44.73863636363636,1.375,0.13333333333333333,0.6875,25
0.36,44.61363636363636,1.375,0.125,0.65625,24
0.38,44.61363636363636,1.375,0.125,0.65625,24
0.4,44.317583732057415,1.375,0.10526315789473685,0.5625,21
0.42,44.317583732057415,1.375,0.10526315789473685,0.5625,21
0.44,44.317583732057415,1.375,0.10526315789473685,0.5625,21
0.46,44.317583732057415,1.375,0.10526315789473685,0.5625,21
0.48,44.23863636363636,1.375,0.1,0.53125,20
0.5,44.16720779220779,1.375,0.09523809523809523,0.5,19
0.52,44.10227272727273,1.375,0.0909090909090909,0.46875,18
0.54,44.04298418972332,1.375,0.08695652173913043,0.4375,17
0.56,44.68973214285714,1.375,0.14285714285714285,0.3125,12
0.58,45.79435483870968,1.375,0.19354838709677416,0.25,9
0.6,43.96875,0.6875,0.16666666666666666,0.09375,4
0.62,21.812865497076025,0.0,0.15789473684210525,0.03125,2
0.64,21.812865497076025,0.0,0.15789473684210525,0.03125,2
0.66,23.936298076923077,0.0,0.20512820512820512,0.03125,1
0.68,23.859375,0.0,0.19999999999999998,0.0,0
0.7,23.859375,0.0,0.19999999999999998,0.0,0
0.72,23.859375,0.0,0.19999999999999998,0.0,0
0.74,23.859375,0.0,0.19999999999999998,0.0,0
