pair_id,gap_1_2,relative_gap_1_2,gap_1_3,gap_1_5,relative_gap_1_5,gap_1_10,relative_gap_1_10,gap_1_20,relative_gap_1_20,gap_1_30,gap_1_50,gap_1_100,gap_1_200
pair_000,0.008468019936488269,0.012412765994595995,0.10780164576042339,0.15878055118193812,0.2327469516010274,0.6206816135529104,0.9098202040104765,0.6568965897319089,0.9629055803063898,0.6671853242303575,0.6766560230646346,0.6808646640491519,0.6821402525444845
pair_001,0.5025839298501882,0.5350611517966196,0.8635430133127,0.8892939429706076,0.9467605570943077,0.9092884964994413,0.9680471685543796,0.9281402573491796,0.9881171395076134,0.9333820386890805,0.9356264877275825,0.9386312140614019,0.9392300323374446
pair_002,0.0013937437013907296,0.04581781378746805,0.0015022688859086843,0.013553334153587848,0.44555117259276417,0.019414693361076697,0.6382370046020579,0.024320511257090928,0.7995104515137968,0.026624703895679638,0.028477871098433517,0.030128891067056726,0.030365477050765338
pair_003,0.018453082767336454,0.08630670046439731,0.13732989265029064,0.17095369500067287,0.7995655540992672,0.1866820355153071,0.8731283940168014,0.19646830063108037,0.9188996216572732,0.20220271693790773,0.20683905823629978,0.21217801402756808,0.21371776808842716
pair_004,0.02952028091790515,0.035412512887323486,0.3422680922219019,0.50636164156145,0.6074311490228732,0.6850451289053405,0.8217797629779484,0.8083531532371936,0.9697000017082517,0.8283061171061838,0.831492353299277,0.8332165118049097,0.8335392873132
pair_005,0.06409951313577461,0.18803511006292503,0.18363057187780563,0.23100137513612157,0.6776396086878445,0.30659655155628585,0.8993971014207891,0.3263537315180696,0.9573545386446551,0.3314576217158791,0.3368796235123605,0.3395726011960774,0.3408037765408791
pair_006,0.009737169889643758,0.14068984109094765,0.039708211422226185,0.04429446569053488,0.6399992410359165,0.05142404822013662,0.7430127289900805,0.05861483026179787,0.8469104728136685,0.062424933624899266,0.0657213026157193,0.06805005499432216,0.06914681754869503
pair_007,0.09473385018058411,0.10380253657179803,0.10523337381215858,0.16592882956749622,0.18181287223799256,0.8007289054599545,0.8773811191528861,0.8810311923351375,0.9653705870597715,0.9063618602866981,0.9104215612802914,0.9118994498666962,0.9125589258867927
pair_008,0.2566125537933509,0.2733391572462975,0.7256638375191495,0.7731166618741718,0.8235102051162099,0.8677476398648499,0.9243094504804681,0.9072275155468277,0.9663627163381886,0.9228207625313192,0.9305546171063591,0.9377179412113639,0.938747305280738
pair_009,0.016276418552025218,0.026596550593027794,0.06321475346618954,0.1264727065128356,0.206663261125541,0.37484027715508694,0.6125093406632361,0.5723613995876928,0.9352695663958669,0.5979343582365461,0.6045329426709555,0.6113299699449802,0.6119060806749735
