pair_id,candidate_a,candidate_b,rank_a,rank_b,score_a,score_b,delta_score,delta_corr,delta_psr,delta_context128,delta_context_combined,delta_neigh,delta_gradient,delta_phase,delta_center,delta_family,label
pair_001,GT,Rank_2,1,2,0.9393008501952909,0.4367169203451027,0.5025839298501882,0.03623151779174805,0,0.0325629109136355,-0.0002779940113961654,0.02324432134628296,0.0748286247253418,0.0,-24.526029749220356,0.0,1
pair_001,GT,Rank_3,1,3,0.9393008501952909,0.07575783688259086,0.8635430133127,0.01045238971710205,0,-0.039408272674654854,-0.011505760692601452,0.0032961666584014893,0.028369486331939697,0.0,-22.022067165655073,0.0,1
pair_001,GT,Rank_4,1,4,0.9393008501952909,0.06560242765432289,0.873698422540968,0.07732933759689331,0,0.0805613522559272,0.021542228173825118,0.042667001485824585,0.0990605354309082,0.0,16.4921043605448,0.0,1
pair_001,GT,Rank_5,1,5,0.9393008501952909,0.05000690722468329,0.8892939429706076,0.06867289543151855,0,0.04299138135529179,0.022611590739705756,0.013739362359046936,0.07877081632614136,0.0,94.95184245755877,0.0,1
pair_001,GT,Rank_6,1,6,0.9393008501952909,0.04611968831235495,0.893181161882936,0.16404402256011963,0,0.15105228198893017,0.11400656806205889,0.09315288066864014,0.16797930002212524,0.0,60.173622511359,0.0,1
pair_001,GT,Rank_7,1,7,0.9393008501952909,0.03922917663098823,0.9000716735643026,0.010060489177703857,0,0.04303047782467362,0.01215182870808984,0.002743348479270935,0.022089481353759766,0.0,102.74633237930568,0.0,1
pair_001,GT,Rank_8,1,8,0.9393008501952909,0.036077022021198786,0.9032238281740921,0.06808561086654663,0,0.11844781888463118,0.03563451481756541,0.011357381939888,0.07806235551834106,0.0,84.45700780627055,0.0,1
pair_001,GT,Rank_9,1,9,0.9393008501952909,0.033897531607040184,0.9054033185882506,0.06766808032989502,0,0.03696455472028515,0.017039872107986964,0.01655837893486023,0.079795241355896,0.0,73.76338291543439,0.0,1
pair_001,GT,Rank_10,1,10,0.9393008501952909,0.03001235369584951,0.9092884964994413,0.07075613737106323,0,0.12309217149440677,0.03988983872805896,0.017442286014556885,0.08116310834884644,0.0,104.98008918468688,0.0,1
pair_001,GT,Rank_11,1,11,0.9393008501952909,0.023305952275851027,0.9159948979194399,0.11259812116622925,0,0.0029360120015327063,0.020571000428310615,0.06639087200164795,0.15274471044540405,0.0,-33.02155806227546,0.0,1
