pair_id,set_type,gt_rank,gt_score,winner_score,gt_minus_winner,gt_minus_top2,gt_minus_top5,gt_minus_top10,gt_minus_top20,winner_minus_gt
pair_001,SetA,1,0.9393008501952909,0.9393008501952909,0.0,0.5025839298501882,0.8892939429706076,0.9092884964994413,0.9281402573491796,0.0
pair_003,SetA,105,0.0014671849147112118,0.21380722888656947,-0.21234004397185827,-0.1938869612045218,-0.0413863489711854,-0.025658008456551175,-0.01587174334077789,0.21234004397185827
pair_004,SetA,26,0.0073734514711256,0.8336105827711408,-0.8262371313000152,-0.79671685038211,-0.31987548973856517,-0.14119200239467466,-0.017883978062821587,0.8262371313000152
pair_005,SetA,6,0.07716594457460359,0.34089019374740187,-0.2637242491727983,-0.1996247360370237,-0.03272287403667673,0.04287230238348754,0.06262948234527133,0.2637242491727983
pair_006,SetA,37,0.005273884682665874,0.06920918471653013,-0.06393530003386426,-0.0541981301442205,-0.01964083434332938,-0.012511251813727642,-0.005320469772066392,0.06393530003386426
pair_007,SetA,1,0.9126342140254174,0.9126342140254174,0.0,0.09473385018058411,0.16592882956749622,0.8007289054599545,0.8810311923351375,0.0
pair_008,SetA,6,0.13998198661934003,0.9388054131701601,-0.7988234265508201,-0.5422108727574692,-0.02570676467664823,0.06892421331402984,0.10840408899600756,0.7988234265508201
pair_009,SetA,3,0.548759039847498,0.6119737933136875,-0.06321475346618954,-0.046938334914164326,0.06325795304664605,0.3116255236888974,0.5091466461215033,0.06321475346618954
pair_010,SetA,1,0.9046659485654094,0.9046659485654094,0.0,0.0020350506026718396,0.08892246410676119,0.27670744044258844,0.8488637903216358,0.0
pair_011,SetA,1,0.963110741146089,0.963110741146089,0.0,0.053498192476640005,0.09950752694379905,0.1652003277782147,0.5119453886994255,0.0
pair_012,SetA,1,0.5360214234869294,0.5360214234869294,0.0,0.06999511159345989,0.3079565969188485,0.4475197053571712,0.5149926658387485,0.0
pair_013,SetA,1,0.8655650756516637,0.8655650756516637,0.0,0.7403784208557839,0.8034307347360897,0.8416560055772037,0.8548130086790795,0.0
pair_015,SetA,1,0.9229879651900139,0.9229879651900139,0.0,0.00376357348378209,0.6789935288055876,0.8176613587784151,0.8953623864875813,0.0
pair_016,SetA,3,0.5102907277764803,0.6840895735473947,-0.17379884577091442,-0.0830014715253784,0.16702554331068248,0.42991426104650937,0.4875392018941119,0.17379884577091442
pair_017,SetA,3,0.14087361984878313,0.17542132919622783,-0.034547709347444694,-0.03146123429272077,0.05307781799061735,0.08773099509555862,0.11565270545061464,0.034547709347444694
pair_019,SetA,1,0.7806770065653151,0.7806770065653151,0.0,0.0056963491380783715,0.1422900577443279,0.5146517527876502,0.7373980284885131,0.0
pair_020,SetA,81,0.002651967064782298,0.9158659012155893,-0.913213934150807,-0.9018568813372061,-0.6286671775258497,-0.1385516052345058,-0.01737036252859381,0.913213934150807
pair_021,SetA,1,0.8455868834420848,0.8455868834420848,0.0,0.6940558335888325,0.7857903703342441,0.81587110031653,0.8369030658584435,0.0
pair_022,SetA,1,0.9694151297395627,0.9694151297395627,0.0,0.22174647816655368,0.4424720031207804,0.8764277747656568,0.938432730115122,0.0
pair_023,SetA,1,0.9743717354255884,0.9743717354255884,0.0,0.46840980236207175,0.9132244496504824,0.9278008223888481,0.9500770474955255,0.0
pair_025,SetA,1,0.21577226594797363,0.21577226594797363,0.0,0.20809501172938785,0.21078425580005944,0.21201006692916516,0.21390785714052807,0.0
pair_026,SetA,1,0.7913241487774937,0.7913241487774937,0.0,0.17605110264531854,0.6136346820476295,0.7036594556807257,0.7688871699083224,0.0
pair_027,SetA,10,0.7687792237512665,0.9791443522408148,-0.21036512848954825,-0.2051501197409472,-0.18636481229713808,0.0,0.7100837450318876,0.21036512848954825
pair_028,SetA,1,0.9126346495069324,0.9126346495069324,0.0,0.15451771144110749,0.3940116258329469,0.8415795041310729,0.8996692147672999,0.0
pair_029,SetA,90,0.0008174535904783858,0.2307156819339631,-0.22989822834348472,-0.08359231113066802,-0.025065206567288927,-0.018790170849697967,-0.0091429784201103,0.22989822834348472
pair_032,SetA,15,0.14110276192153468,0.7968851800355824,-0.6557824181140477,-0.5922094698907958,-0.543119790862397,-0.39644707616056396,0.08704419871804789,0.6557824181140477
pair_033,SetA,1,0.9801513577557006,0.9801513577557006,0.0,0.6453769292138603,0.8015745160310976,0.9284321557106997,0.9717895101660966,0.0
pair_035,SetA,1,0.9497477569534037,0.9497477569534037,0.0,0.1165549947647444,0.17467350922326463,0.6520317885025553,0.9055024794974862,0.0
pair_037,SetA,1,0.6533569956238199,0.6533569956238199,0.0,0.18254290125547545,0.5768208522043272,0.6370050355908663,0.6469234083819395,0.0
pair_038,SetA,4,0.765970598001102,0.9029337444674467,-0.13696314646634467,-0.07340264396098073,0.002733117764499693,0.523270506572931,0.6937528279677065,0.13696314646634467
pair_039,SetA,2,0.5137457925855724,0.599606204965717,-0.08586041238014464,0.0,0.08691114856110149,0.4045537140028483,0.47685337204934286,0.08586041238014464
pair_041,SetA,7,0.6461630715777509,0.8626685196266493,-0.21650544804889837,-0.1861258517023101,-0.04208370580755938,0.2845256832968452,0.6046856819848205,0.21650544804889837
pair_043,SetA,15,0.011388937888116808,0.19660792779520841,-0.1852189899070916,-0.12798740824385602,-0.026773217389444767,-0.0036814565632693006,0.0032736136529890967,0.1852189899070916
pair_044,SetA,10,0.032472230993611226,0.8940313079550573,-0.8615590769614461,-0.5873206411529667,-0.1940988924082676,0.0,0.014824386068320587,0.8615590769614461
pair_045,SetA,5,0.7317911873346966,0.9572085661474549,-0.22541737881275825,-0.1365254642252257,0.0,0.08589019136449327,0.4837264611284269,0.22541737881275825
pair_047,SetA,5,0.8692548427302765,0.9497106948720714,-0.08045585214179485,-0.07424489006816604,0.0,0.13791992260840213,0.746918485801088,0.08045585214179485
pair_048,SetA,69,0.004320907006869825,0.884498584014869,-0.8801776770079992,-0.861486857220649,-0.7197829545411142,-0.467949128569246,-0.08909923984929177,0.8801776770079992
pair_049,SetA,1,0.878448355100818,0.878448355100818,0.0,0.4974584707138252,0.6701652642083828,0.8176618441168292,0.8584269149828023,0.0
