Feature,Nominal_Mean,Nominal_Median,Degraded_Mean,Degraded_Median,Absent_Mean,Absent_Median
corr_score,0.8094269931316376,0.8196831345558167,0.7016304731369019,0.7040689885616302,0.8274022205309435,0.8332727551460266
psr,2.2200337260961533,2.2317416667938232,2.3642508515289853,2.334558129310608,2.5238026922399346,2.391060709953308
peak_margin,0.023200942575931548,0.00024321675300598145,0.02756051080567496,0.0004884302616119385,0.002289138057015159,0.00042444467544555664
context_128,0.7296474478563274,0.7455499863024233,0.6447157410789328,0.6477654513055968,0.7630685329911916,0.7686293362622031
phase_residual,0.07247888203710318,0.06983933970332146,0.06022430783403771,0.05333162657916546,0.08560569465837696,0.08449316024780273
family_population,37.85,50.0,44.607142857142854,50.0,50.0,50.0
local_density,138.13626098632812,135.7969970703125,141.6512712751116,142.9022216796875,150.61644398082387,152.0760498046875
center_prior,180.19637757791415,188.59659219748775,161.72829846388964,177.48898371714057,150.02274373261028,137.94069781165712
nearest_edge_dist,0.8512638069904458,1.0,0.6915700368099618,1.0,1.0103078528370162,1.0
nearest_cut_dist,14.061246745488706,12.368259850937685,4.479494892236743,4.123105625617661,27.025791947598588,24.3632655943265
