peak_x,peak_y,cx,cy,corr_score,fft_gradient_score,peak_margin,psr,context_32,context_64,context_128,context_score,phase_dx,phase_dy,phase_residual,phase_penalty,template_residual,center_prior,score_combined,pace_score,family_id,family_population,family_score_variance,nearest_edge_dist,nearest_cut_dist,row_spacing,col_spacing,local_density,rank_score,pair_id,set,gt_found,total_candidates
237,690,287.0,740.0,0.7550830841064453,0.4954468905925751,0.0001245737075805664,1.5097144842147827,0.6301742725592548,0.6395123379923083,0.6447919120200075,0.6397565545167774,0.0,0.0,0.042332973331213,0.05,1642.7254638671875,320.887830869293,0.6474198193116113,0.0,1,1,0.0,1.0,14.317821063276353,0.0,0.0,132.0439453125,0.5062048630954548,A_0,A_NOMINAL,1,50
709,355,759.0,405.0,0.7565913796424866,0.524011492729187,0.00036853551864624023,1.574794888496399,0.6863126933749827,0.6763482598391559,0.685329164935905,0.6819335085850209,3.0,2.0,0.046063490211963654,0.11020817282989959,1533.09375,275.87315925983086,0.6090542712838541,0.0,0,49,4.006738213939776e-06,1.4142135623730951,13.038404810405298,2.0,2.0,128.29736328125,0.4964303162115692,A_0,A_NOMINAL,1,50
706,355,756.0,405.0,0.7562228441238403,0.5230214595794678,0.0001214742660522461,1.6039289236068726,0.6777400619681234,0.6739960704723121,0.6824677317696866,0.6781335332904241,0.0,2.0,0.04741862788796425,0.05,1538.296142578125,273.05860176892435,0.6671781887071322,0.0,0,49,4.006738213939776e-06,1.0,15.811388300841896,2.0,2.0,128.358642578125,0.4959016405640251,A_0,A_NOMINAL,1,50
226,357,276.0,407.0,0.7538807392120361,0.5123164057731628,3.874301910400391e-06,1.6082669496536255,0.673092243095806,0.6797671487605655,0.6768045996767841,0.677247147994101,0.0,-1.0,0.041190825402736664,0.05,1629.799072265625,242.53865671269807,0.6655639436030685,0.0,0,49,4.006738213939776e-06,1.4142135623730951,1.0,2.0,2.0,130.255615234375,0.4944777462511032,A_0,A_NOMINAL,1,50
703,355,753.0,405.0,0.7549529671669006,0.5192090272903442,2.8848648071289062e-05,1.638749361038208,0.6681858862724862,0.6713265175779978,0.6792439323946201,0.6738653572435445,-3.0,2.0,0.045413900166749954,0.11020817282989959,1547.9869384765625,270.2480342204176,0.604200989375323,0.0,0,49,4.006738213939776e-06,1.0,17.0,2.0,2.0,128.3095703125,0.494045234824523,A_0,A_NOMINAL,1,50
712,355,762.0,405.0,0.755603015422821,0.5264440774917603,0.00019598007202148438,1.553062081336975,0.6939945267268637,0.6805823671127208,0.6845878811082754,0.6848670046337713,0.0,0.0,0.03515969216823578,0.05,1536.2005615234375,278.69158580768095,0.6702350100282961,0.0,0,49,4.006738213939776e-06,3.0,10.04987562112089,3.0,2.0,128.1064453125,0.49276772901831556,A_0,A_NOMINAL,1,50
261,357,311.0,407.0,0.7539898753166199,0.5212509036064148,4.4405460357666016e-05,1.5932761430740356,0.6423202301266772,0.6603968404204081,0.6617820414264949,0.6573355987640966,4.0,0.0,0.03655044361948967,0.125,1595.67578125,210.6418761785035,0.5806627370403583,0.0,0,49,4.006738213939776e-06,2.0,3.605551275463989,33.0,2.0,130.014892578125,0.49129308791294324,A_0,A_NOMINAL,1,50
725,355,775.0,405.0,0.7571920156478882,0.5189115405082703,0.0006006360054016113,1.551222801208496,0.6670332220223857,0.6699759864013551,0.6747943867152226,0.6713147936511084,-3.0,0.0,0.04160064086318016,0.0875,1517.0411376953125,290.9467305195231,0.6267534046494982,0.0,0,49,4.006738213939776e-06,2.0,3.1622776601683795,2.0,2.0,127.65673828125,0.4903603287733259,A_0,A_NOMINAL,1,50
722,355,772.0,405.0,0.7584228515625,0.5240905284881592,0.0003185272216796875,1.5533406734466553,0.6609960034097458,0.6671803396892383,0.6743994368846553,0.6688311113115066,-3.0,2.0,0.03358140215277672,0.11020817282989959,1512.205322265625,288.11282512238154,0.6034188086071037,0.0,0,49,4.006738213939776e-06,0.0,1.0,2.0,2.0,127.720458984375,0.4889930115605854,A_0,A_NOMINAL,1,50
224,677,274.0,727.0,0.7546624541282654,0.5187215209007263,2.950429916381836e-05,1.6202746629714966,0.6663777104283133,0.6823572255421955,0.6779245309787623,0.6773882446940458,-1.0,0.0,0.03879121318459511,0.05,1628.78662109375,320.3201523476161,0.6660253494111555,0.0,0,49,4.006738213939776e-06,0.0,10.04987562112089,2.0,202.0,132.09912109375,0.48680435555526,A_0,A_NOMINAL,1,50
