peak_x,peak_y,cx,cy,corr_score,fft_gradient_score,peak_margin,psr,context_32,context_64,context_128,context_score,phase_dx,phase_dy,phase_residual,phase_penalty,template_residual,center_prior,score_combined,pace_score,family_id,family_population,family_score_variance,nearest_edge_dist,nearest_cut_dist,row_spacing,col_spacing,local_density,rank_score,pair_id,set,gt_found,total_candidates
237,690,287.0,740.0,0.7550830841064453,0.4954468905925751,0.0001245737075805664,1.5097144842147827,0.6301742725592548,0.6395123379923083,0.6447919120200075,0.6397565545167774,0.0,0.0,0.042332973331213,0.05,1642.7254638671875,320.887830869293,0.6474198193116113,0.0,1,1,0.0,1.0,14.317821063276353,0.0,0.0,132.0439453125,0.5062048630954548,A_0,A_NOMINAL,1,50
746,489,795.5,538.5,0.7224571704864502,0.43552112579345703,0.01036536693572998,1.7230122089385986,0.6214125363063369,0.6237291090785857,0.6377500125244018,0.6288741559024624,0.0,0.0,0.10359662771224976,0.05,1752.52734375,297.9974832108486,0.6256656631944563,0.0,0,1,0.0,1.5811388300841898,16.446884203398525,0.0,0.0,132.255859375,0.5082947811850982,A_1,A_NOMINAL,1,50
479,433,529.0,483.0,0.8342553377151489,0.5467876195907593,0.00414806604385376,2.766083002090454,0.827680306336294,0.7947790910941029,0.7726032923355436,0.7924890146391175,0.0,-1.0,0.08423761278390884,0.05,1572.26806640625,33.61547262794322,0.7633721761771332,0.0,0,50,0.0005802646982515456,1.0,30.23243291566195,2.0,2.0,159.643310546875,0.5918111433366826,A_10,A_NOMINAL,1,50
421,443,471.5,493.5,0.7824298739433289,0.5302935838699341,2.6226043701171875e-06,2.0412209033966064,0.6995904845515547,0.7217518571332604,0.7023607378272716,0.7095631348945237,-2.0,-1.0,0.06470374017953873,0.05885254915624212,1750.3936767578125,29.231831964486933,0.6871439552626841,0.0,0,50,1.738385898977555e-05,0.7071067811865476,9.192388155425117,3.0,2.0,141.8857421875,0.5420509596653126,A_11,A_NOMINAL,1,50
718,153,768.0,203.0,0.7411285638809204,0.5066959261894226,3.904104232788086e-05,1.6030514240264893,0.6507550233959406,0.6451377827063122,0.6518046751279198,0.6489279878128809,0.0,0.0,0.03838266432285309,0.05,1462.1468505859375,400.0412478732662,0.6450282758469006,0.0,1,1,0.0,0.0,1.4142135623730951,0.0,0.0,124.379638671875,0.49417460314052675,A_12,A_NOMINAL,1,50
607,625,657.0,675.0,0.8589293956756592,0.5855869054794312,0.01529085636138916,3.0444562435150146,0.7766802449443277,0.7381839999793787,0.7839756726404854,0.7641999180368112,0.0,0.0,0.10547126829624176,0.05,1442.0657958984375,235.10423220350586,0.7615646568562351,0.0,0,50,0.0012509277621033674,1.0,30.4138126514911,2.0,2.0,144.2197265625,0.5908206375481434,A_13,A_NOMINAL,1,50
402,190,452.0,240.0,0.8098747134208679,0.5099154710769653,0.002031862735748291,2.502206802368164,0.6632059011918723,0.7573938640212637,0.7474263968174822,0.7345692845738729,0.0,0.0,0.08876386284828186,0.05,1433.7049560546875,264.39364591457183,0.7222219989973704,0.0,0,50,1.194345217554229e-05,1.4142135623730951,1.0,3.0,2.0,143.257568359375,0.5513007253750792,A_14,A_NOMINAL,1,50
452,530,502.0,580.0,0.828334391117096,0.5411385297775269,0.0025011301040649414,2.325991153717041,0.6526366749766553,0.716452571933953,0.7362424417006903,0.7116053404491884,1.0,0.0,0.06011960282921791,0.05,1425.52734375,80.02499609497022,0.7199698657831421,0.0,0,50,8.890114502021616e-06,1.0,2.8284271247461903,2.0,11.0,136.45703125,0.5660460121398874,A_15,A_NOMINAL,1,50
378,523,428.0,573.0,0.7969695925712585,0.5688458681106567,3.2782554626464844e-06,1.8308029174804688,0.6871676304544722,0.6928825983588205,0.7013943499708942,0.6951443054227804,0.0,0.0,0.03279094770550728,0.05,1469.127685546875,102.53292154230269,0.6960569489970194,0.0,1,25,1.0927883905617364e-05,2.23606797749979,26.019223662515376,2.0,10.0,127.849609375,0.5322203042904629,A_16,A_NOMINAL,1,50
410,145,460.0,195.0,0.7934808135032654,0.6020534634590149,3.463029861450195e-05,1.5936073064804077,0.6967643532814229,0.6994668017070678,0.6936921327602912,0.6966164444432281,-4.0,-1.0,0.052249278873205185,0.12961646096066226,1405.27685546875,307.6117683054405,0.6154321680125845,0.0,0,50,3.4575155736149552e-06,1.0,10.0,3.0,12.0,129.028076171875,0.5124857147551654,A_17,A_NOMINAL,1,50
