pair_id,set_type,gt_found,v25_found,v25_ml,v25_score,v25_dist,v46_triggered,v46_consensus,v46_score,v46_dist,final_found
pair_124,SetB,1,0,0.0005305709006108,-0.013933931,845.0962438098021,True,3,0.5926517,522.7775230118164,1
pair_125,SetB,1,1,0.0003992466980745,0.69249755,689.2288169674848,True,4,0.7984173,0.2933054029023236,1
pair_126,SetB,1,0,0.7761666027389027,0.10470803,722.5857542416234,True,3,0.37530467,0.2307793969874171,1
pair_127,SetB,1,0,0.0002177424446964,0.02395121,704.5403498407671,True,4,0.7252457,500.80575744995264,1
pair_128,SetB,1,0,0.0006421753124524,0.049677186,544.246222762245,True,4,0.55797964,420.25886254348444,1
pair_129,SetB,1,1,0.7435811478765556,0.6649002,0.17598551800741302,True,4,0.7660184,0.3580276258020229,1
pair_130,SetB,1,0,0.7341744602331742,0.0734853,693.7338800609218,True,4,0.47918418,329.56945715131707,1
pair_131,SetB,1,0,0.8722000432366295,0.14526406,741.8491751697825,True,4,0.8068871,0.2144513298699704,1
pair_132,SetB,1,0,0.0005232001932876,0.045252413,741.6148501609529,True,3,0.24826004,621.1980034879297,1
pair_133,SetB,1,1,0.0018154177310201,0.7031039,0.4380339369048517,True,4,0.82049394,0.4237567681768715,1
pair_134,SetB,1,0,0.0004191100261882,-0.048647325,705.031821630783,True,4,0.6474085,417.5748038671119,1
pair_135,SetB,1,1,0.000318284728504,0.6296595,330.2343040344196,False,3,0.70062745,330.2343040344196,1
pair_136,SetB,1,0,0.0007590112846719,0.07625463,734.6030186319783,True,3,0.54484236,491.18302720347697,1
pair_137,SetB,1,0,0.0002403696883445,0.3198869,611.5998583511163,True,4,0.7303966,438.621393096145,1
pair_138,SetB,1,0,0.0002731701345796,0.22693568,718.638812797282,True,3,0.5042025,385.37210444339905,1
pair_139,SetB,1,1,0.0002308196185697,0.69250804,665.3087211257091,False,4,0.78635806,665.3087211257091,1
pair_140,SetC,0,0,0.0005531936387925,-0.027996987,1.4142135623730951,True,4,0.8840218,99.0,1
pair_141,SetC,0,1,0.0020670448156582,0.7336968,910.3075032535618,True,4,0.8919138,99.0,1
pair_142,SetC,0,0,0.0002656125925472,0.13578239,1.4142135623730951,False,3,0.23284902,99.0,0
pair_143,SetC,0,0,0.0003373390811441,0.2517174,1.4142135623730951,True,4,0.76791006,99.0,1
pair_144,SetC,0,0,0.0002345329574592,-0.027708717,1.4142135623730951,True,3,0.58561075,99.0,1
pair_145,SetC,0,1,0.0010618327680048,0.74249184,960.32852198281,False,4,0.84249187,99.0,1
pair_146,SetC,0,0,0.0006332920326627,0.16120037,1.4142135623730951,True,4,0.78643024,99.0,1
pair_147,SetC,0,1,0.0010882221767725,0.67317694,642.4016772218133,True,4,0.9001768,99.0,1
pair_148,SetC,0,0,0.0003385296587358,0.057347897,1.4142135623730951,True,4,0.8810538,99.0,1
pair_149,SetC,0,1,0.0002916373687649,0.675501,1252.214101429361,True,4,0.7914625,99.0,1
pair_150,SetC,0,1,0.0005412730265174,0.49585968,445.8329526491258,True,4,0.9041945,99.0,1
pair_151,SetC,0,0,0.000118738049148,0.3782701,1.4142135623730951,True,3,0.6596939,99.0,1
pair_152,SetC,0,0,0.0004418883648594,0.014406795,1.4142135623730951,True,3,0.7452115,99.0,1
pair_153,SetC,0,0,9.193708095112826e-05,0.22408417,1.4142135623730951,True,3,0.6921458,99.0,1
pair_154,SetC,0,0,0.0002134883349013,0.022062887,1.4142135623730951,True,4,0.77081347,99.0,1
pair_155,SetC,0,0,0.0003162978338708,0.07306807,1.4142135623730951,True,4,0.70194227,99.0,1
pair_156,SetC,0,0,0.0002407969047362,0.08909378,1.4142135623730951,True,4,0.56770766,99.0,1
pair_157,SetC,0,1,0.0004054113658569,0.73583275,831.4637242704139,True,4,0.8490714,99.0,1
pair_158,SetC,0,1,0.0006876372859006,0.6629201,854.1496464471088,True,4,0.8316294,99.0,1
pair_159,SetC,0,1,0.0007721192278512,0.730523,1176.7070074699586,False,3,0.7601472,99.0,1
pair_160,SetC,0,0,0.0021363506604978,0.4297445,1.4142135623730951,True,4,0.72971976,99.0,1
pair_161,SetC,0,1,0.0004564990814117,0.7090872,1152.6848311508493,True,4,0.81564397,99.0,1
pair_162,SetC,0,0,0.0002180848942828,-0.13419428,1.4142135623730951,True,3,0.77188426,99.0,1
pair_163,SetC,0,1,0.0001368413277205,0.77739197,490.46251865768517,False,3,0.8302896,99.0,1
pair_164,SetC,0,0,0.0001189458504772,-0.09948945,1.4142135623730951,True,3,0.7387429,99.0,1
pair_165,SetC,0,1,0.0008509911143418,0.7772885,282.2989505795502,True,4,0.90786755,99.0,1
pair_166,SetC,0,0,0.00032022753712,0.20437077,1.4142135623730951,True,4,0.51984274,99.0,1
pair_167,SetC,0,1,0.0035044513829908,0.8619804,1201.5314187997706,False,4,0.9619804,99.0,1
pair_168,SetC,0,0,0.0003501918966625,-0.06522556,1.4142135623730951,True,3,0.73728555,99.0,1
pair_169,SetC,0,1,0.0002407566591086,0.83240545,1089.9006689187343,False,4,0.9324055,99.0,1
pair_170,SetC,0,0,0.0007056736151055,0.09508284,1.4142135623730951,True,4,0.47189108,99.0,1
pair_171,SetC,0,1,0.0012983113701041,0.7505849,701.7969266180911,True,4,0.8731514,99.0,1
pair_172,SetC,0,1,0.0009981024869204,0.6877568,780.2375194390261,True,4,0.79168403,99.0,1
pair_173,SetC,0,0,0.0001626759841319,-0.07155044,1.4142135623730951,True,4,0.74823433,99.0,1
pair_174,SetC,0,0,0.0001969627798289,0.015161872,1.4142135623730951,True,3,0.6477303,99.0,1
pair_175,SetC,0,0,0.0002903902817093,0.21145841,1.4142135623730951,True,3,0.66711366,99.0,1
pair_176,SetC,0,0,0.0121270443442364,0.108470425,1.4142135623730951,True,4,0.56144357,99.0,1
pair_177,SetC,0,0,0.0003527578558203,0.36624253,1.4142135623730951,True,3,0.71663064,99.0,1
pair_178,SetC,0,0,0.0001809661633729,0.11038774,1.4142135623730951,True,3,0.36518657,99.0,1
pair_179,SetC,0,0,0.000225172938669,0.06278664,1.4142135623730951,True,3,0.73512036,99.0,1
