hypotheses_count,top20_recall,top50_recall,top100_recall
1,39.285714285714285,48.57142857142857,48.57142857142857
3,39.285714285714285,52.85714285714286,57.14285714285714
5,40.0,52.85714285714286,57.85714285714286
