radius,top10_recall,top20_recall,top50_recall,top100_recall,latency_ms
1,32.857142857142854,40.714285714285715,48.57142857142857,55.00000000000001,878.2273785714292
2,32.857142857142854,40.714285714285715,49.28571428571429,55.00000000000001,875.7663964285712
3,35.0,40.0,49.28571428571429,56.42857142857143,878.6237642857129
5,34.285714285714285,40.0,50.0,60.71428571428571,879.5520528571452
8,33.57142857142857,39.285714285714285,50.71428571428571,59.285714285714285,885.6024692857155
10,33.57142857142857,40.0,51.42857142857142,59.285714285714285,908.4307514285715
15,33.57142857142857,39.285714285714285,45.714285714285715,49.28571428571429,882.7750849999996
20,35.0,38.57142857142858,46.42857142857143,47.85714285714286,880.2919521428554
30,35.714285714285715,40.714285714285715,45.0,50.0,877.9849842857143
