variant,top1_hits,abs_top1_pct,cond_top1_pct,set_a_top1_pct,set_b_top1_pct,weighted_top1_pct
V16_CONTROL,22,15.714285714285714,30.985915492957744,18.571428571428573,12.857142857142856,15.428571428571429
V18_A,30,21.428571428571427,42.25352112676056,24.285714285714285,18.571428571428573,21.142857142857146
V18_B,29,20.714285714285715,40.845070422535215,22.857142857142858,18.571428571428573,20.5
V18_C,33,23.57142857142857,46.478873239436616,27.142857142857142,20.0,23.214285714285715
V18_D,18,12.857142857142856,25.352112676056336,11.428571428571429,14.285714285714285,13.0
V18_E,30,21.428571428571427,42.25352112676056,22.857142857142858,20.0,21.285714285714285
