pair_id,candidate_rank,gt_x,gt_y,pred_x,pred_y,loc_error,status,score_original,score_normalized,score_highpass,score_gradient,score_blur,score_sharp,score_mean,score_std,rank_original,rank_normalized,rank_highpass,rank_gradient,rank_blur,rank_sharp,rank_std,x_shift,y_shift,coordinate_std,winner_frequency,representation_agreement
pair_000,1,571.9958979375593,398.53034370617024,572.0,404.0,5.469657832035542,WRONG,0.014032840728759766,0.014032687991857529,0.07280274480581284,0.021512916311621666,0.008020957000553608,0.015968428924679756,0.024395095960547526,0.022005622019035852,136,136,129,113,133,139,8.621678104251709,3.1666666666666665,4.0,2.6087459737497545,0.0,0
pair_001,1,373.394215556507,522.6150317343146,510.5,523.5,137.10864048883585,WRONG,0.06828968226909637,0.06828978657722473,0.00751597760245204,0.02919476293027401,0.07711007446050644,0.06318743526935577,0.052264619851484895,0.025115972298370218,106,106,107,42,105,105,23.78666760089684,34.0,29.833333333333332,1.3437096247164249,0.0,0
pair_002,1,506.9538393948501,470.58932107692567,513.5,458.5,13.7478690264861,WRONG,0.11897729337215424,0.11897672712802887,0.019510481506586075,0.0016160187078639865,0.19253288209438324,0.09604697674512863,0.09127672992569084,0.06454922180686098,9,9,95,121,8,9,47.38641389915703,29.833333333333332,32.166666666666664,2.0275875100994067,0.0,0
pair_003,1,607.6968809170181,645.8140267959674,465.0,583.0,155.9102363084931,WRONG,0.013399342074990273,0.013398288749158382,0.10921097546815872,0.07474174350500107,0.010825826786458492,0.015488619916141033,0.03951079941665133,0.03843370513751031,184,184,96,182,184,186,32.81598526463725,2.8333333333333335,2.0,0.6871842709362768,0.0,0
pair_004,1,560.304385883243,505.4287915025294,548.0,506.0,12.31763739973422,WRONG,-0.020456751808524132,-0.02045750990509987,0.024555131793022156,-0.03594187647104263,-0.047435954213142395,-0.013239225372672081,-0.018829364329576492,0.02247197685247625,108,108,129,159,109,112,18.577914008006626,33.5,36.0,2.5,0.0,0
pair_005,1,492.8803672127779,373.9741749168665,466.5,374.5,26.38560718079196,WRONG,0.10334475338459015,0.10334434360265732,0.07445664703845978,0.030564628541469574,0.11415974795818329,0.09708062559366226,0.08715845768650372,0.028034786886610638,107,107,72,161,108,110,26.02189249245506,11.666666666666666,8.5,2.9107081994288304,0.0,0
pair_006,1,575.80239958051,444.3205630964013,418.5,522.5,175.65895726762758,WRONG,0.1100902408361435,0.11009098589420319,0.021645255386829376,0.00830803532153368,0.17214716970920563,0.08800901472568512,0.08504845031226675,0.05591396388343718,31,31,117,175,37,31,56.10307973325132,27.333333333333332,31.666666666666668,2.333333333333333,0.0,0
pair_007,1,593.4639558322576,511.994170997082,460.0,523.0,133.91697345159903,WRONG,-0.0005375037435442209,-0.0005366284749470651,0.04079178348183632,0.08725201338529587,-0.0021812706254422665,0.0003415125538595021,0.020854984429509688,0.03334854479295567,108,108,38,173,106,109,38.99572626156188,29.833333333333332,27.833333333333332,2.472066162365221,0.0,0
pair_008,1,422.47519132408166,450.34835894814296,406.5,449.5,15.997701420701297,WRONG,0.06391052901744843,0.06391088664531708,0.07609231024980545,-0.014143943786621094,0.08334971219301224,0.058380819857120514,0.055250052362680435,0.032143773138422885,75,75,79,131,68,80,21.076579946049648,4.166666666666667,4.833333333333333,0.5270462766947299,0.0,0
pair_009,1,563.0039110938745,430.0475336900847,563.0,430.0,0.04769432197196644,SAFE,-0.03397347405552864,-0.03397198021411896,0.116889089345932,0.06859437376260757,-0.04438721016049385,-0.028147833421826363,0.007500494209428628,0.06205040984411579,134,134,90,131,133,134,16.13484841370793,13.5,14.333333333333334,3.0776975521032313,0.0,0
