variant,max_k,retrieval_recall,cond_top1_accuracy,weighted_loc,setA_le5,setB_le5,f1_rejection,latency_sec
R0_CAR_Baseline,50,50.0,60.0,25.642857142857146,34.285714285714285,18.571428571428573,0.1904761904761905,3.1015175183614097
R0_CAR_Baseline,100,60.71428571428571,44.70588235294118,22.785714285714285,31.428571428571427,15.714285714285714,0.2142857142857143,4.834692349698808
R1_Context128_Phase,100,60.71428571428571,17.647058823529413,9.714285714285715,12.857142857142856,7.142857142857142,0.1951219512195122,1.8587379097938537
R2_Spatial_Family,100,60.71428571428571,30.58823529411765,14.5,20.0,10.0,0.19277108433734938,4.765223937564426
R3_Full_Ensemble,100,60.71428571428571,35.294117647058826,17.214285714285715,24.285714285714285,11.428571428571429,0.21176470588235294,4.763526462184059
R3_Full_Ensemble,200,68.57142857142857,30.208333333333332,16.42857142857143,24.285714285714285,10.0,0.20930232558139536,8.902623660034603
