pair_id,set_type,gt_found,corr_score,psr,peak_margin,context_32,context_64,context_128,context_score,phase_residual,phase_penalty,template_residual,center_prior,ambiguity_index,est_scale,est_theta
pair_000,SetA,1,0.8210021257400513,2.668327569961548,-0.017199456691741943,0.7825807108355269,0.7351453005490267,0.7244758205121671,0.740364590591583,0.035430535674095154,0.1662132317597294,2332.95556640625,77.4919350642375,0.9642917115312116,8.899999999999999,1.0
pair_001,SetA,1,0.8722559809684753,2.695727825164795,-0.010060489177703857,0.8440813269384622,0.8103533586896315,0.7640622206179947,0.798582497110743,0.08775429427623749,0.05,1876.4871826171875,25.739075352467502,0.9022619485855102,11.699999999999998,-0.75
pair_002,SetA,1,0.7005248665809631,2.036292314529419,0.0019161701202392578,0.44064589965039985,0.41249386482861955,0.7081801550513697,0.5363987878820757,0.045508358627557755,0.09358541225631423,2473.865234375,191.7094155225559,0.8881917392510468,11.699999999999998,-2.0
pair_003,SetA,1,0.8629303574562073,1.7852431535720825,-2.9861927032470703e-05,0.8427308350659256,0.8420303908277662,0.8406483153288767,0.8416176494758424,0.03661785274744034,0.0875,1964.7744140625,188.67962264113208,0.8520360946655273,8.799999999999999,-2.0
pair_004,SetA,1,0.7259329557418823,2.611015558242798,-0.005986690521240234,0.6492459679901402,0.6291435996591795,0.7062867297183936,0.6640213253490573,0.06297261267900467,0.05,2071.6689453125,48.373546489791295,0.975243532328724,11.899999999999999,3.25
pair_005,SetA,1,0.8726896047592163,1.9162007570266724,0.019665181636810303,0.6950503662273401,0.6113302021170289,0.7885744505749765,0.6989719343222702,0.044068291783332825,0.05,1920.154541015625,129.89418770676386,0.8523047326698835,9.699999999999998,1.5
pair_006,SetA,1,0.7057155966758728,2.0421228408813477,-0.00038421154022216797,0.39931778738469514,-0.08394838103486754,0.6925512206785638,0.3233046933344175,0.045528098940849304,0.16249999999999998,2464.128662109375,178.9986033465066,0.8871009111404419,11.499999999999998,1.25
pair_007,SetA,1,0.8541385531425476,2.412214994430542,-0.0017109513282775879,0.7270243848076363,0.7933873002944433,0.8286393284703248,0.7942155284674346,0.05247684195637703,0.05,1860.5867919921875,46.14108798023731,1.0012725158095925,11.299999999999999,4.75
pair_008,SetA,1,0.7827922105789185,2.400052309036255,0.0025340914726257324,0.5087296864112119,0.5884460911287902,0.6463968628850455,0.5956831188877767,0.03209361061453819,0.12961646096066226,2455.01123046875,106.26617523934885,0.9872760537104192,8.999999999999998,-3.0
pair_009,SetA,1,0.8905602693557739,2.2868921756744385,0.006619751453399658,0.7625937869884385,0.7518645713984116,0.8156888111387918,0.7795401104125691,0.1106034442782402,0.05,1815.4139404296875,94.17536832951598,0.8346535869633637,9.999999999999998,-2.0
pair_010,SetA,1,0.7105246186256409,3.0038974285125732,-0.002844572067260742,-0.04597469655763473,0.4770523643506958,0.6757498141827971,0.4519259321018702,0.054009079933166504,0.05,2110.13818359375,146.03595447697117,0.9343748450279236,11.999999999999998,-4.75
pair_011,SetA,1,0.8794574737548828,2.4974281787872314,0.005357265472412109,0.8720370288685199,0.8552419836665083,0.8400917382351734,0.8525408945343766,0.17004014551639557,0.0,1906.4244384765625,107.71258050942797,0.9132116203414264,8.899999999999999,-2.0
pair_012,SetA,1,0.821050226688385,2.6907403469085693,0.018971681594848633,0.7193223169749418,0.8247063589647932,0.8141139608726504,0.7993925913299659,0.07748426496982574,0.05,2312.71435546875,173.75989180475452,0.8818950190048213,9.199999999999998,4.0
pair_013,SetA,1,0.8663911819458008,2.1469602584838867,-0.011116743087768555,0.7211387819658338,0.7153905711803074,0.752403561335535,0.7313454093995038,0.06310898065567017,0.05,1785.292724609375,40.50308630215727,0.8563949823379516,11.7,-1.0
