Model,Rejection_Precision,Rejection_Recall,Rejection_F1,Presence_F1,Spearman_rho,AUC
P0_Current_Rule,0.19444444444444445,0.175,0.18421052631578944,0.7816901408450704,-0.15277691846045607,0.5648214285714286
P1_Deterministic_Composite (t=0.58),0.2692307692307692,0.7,0.3888888888888889,0.5925925925925926,0.500501551129829,0.5296428571428571
P2_Logistic_Regression (t=0.68),0.2222222222222222,1.0,0.3636363636363636,0.0,0.23274447795630732,0.33839285714285716
P3_Gradient_Boosting (t=0.84),0.17721518987341772,0.35,0.23529411764705885,0.6224066390041494,0.5101395424773406,0.4467857142857143
