Confidence_Bin,Case_Count,Mean_Score,Decision_Accuracy
0.0-0.1,0,0.05,
0.1-0.2,7,0.16213201979275987,28.57142857142857
0.2-0.3,9,0.27078199211162424,0.0
0.3-0.4,15,0.35628120012290015,33.33333333333333
0.4-0.5,14,0.45948259353544046,14.285714285714285
0.5-0.6,75,0.5585721639887538,44.0
0.6-0.7,59,0.6425341855717421,83.05084745762711
0.7-0.8,1,0.7015337972525895,100.0
0.8-0.9,0,0.8500000000000001,
0.9-1.0,0,0.95,
