pair_id,is_correct,v25_ml_score,curvature,scale_std
pair_000,0,0.1959262509339319,-0.57691514,0.22894563
pair_000,1,0.1036032275286295,-0.564643,0.22865821
pair_000,0,0.0619073710101907,-0.5189123,0.21511476
pair_000,0,0.0297044822798802,-0.52074647,0.20628661
pair_000,0,0.0226760386579332,-0.5559577,0.22297397
pair_000,0,0.0209616006441869,-0.54934454,0.22405541
pair_000,0,0.018492983214811,-0.48957217,0.2010295
pair_000,1,0.0110249819499251,-0.5026363,0.2121847
pair_000,0,0.0098555359707955,-0.50998485,0.20629808
pair_000,0,0.0085518537921959,-0.48144555,0.20684426
pair_002,0,0.0081176948208997,-0.62260497,0.2640241
pair_002,0,0.006702837556905,-0.64703155,0.25896826
pair_002,0,0.0056441396109687,-0.6414863,0.2585261
pair_002,0,0.0053632384395051,-0.6326798,0.2602697
pair_002,0,0.0024528760831563,-0.61944056,0.26366863
pair_002,0,0.0021372934447369,-0.5929566,0.2665535
pair_002,0,0.0018282163294547,-0.68086076,0.26457465
pair_002,0,0.0017738634343945,-0.7037971,0.26042968
pair_002,1,0.0017628167428149,-0.6182035,0.26176062
pair_002,0,0.0016581913984374,-0.5785688,0.26177028
pair_004,0,0.1226171243596303,-0.44683087,0.18060337
pair_004,0,0.0361355954287698,-0.42690027,0.17812094
pair_004,0,0.0244271260699337,-0.41711354,0.17938986
pair_004,1,0.0228138420711931,-0.471241,0.17260478
pair_004,0,0.0093795339905003,-0.40156984,0.18107937
pair_004,0,0.0083758394343825,-0.4050809,0.17352454
pair_004,0,0.0063100692795372,-0.42352355,0.17947754
pair_004,0,0.0020504819195015,-0.47911608,0.17227834
pair_004,0,0.0014179964772615,-0.35030973,0.17511071
pair_004,0,0.001297499978688,-0.42602015,0.17256942
pair_005,0,0.558516720847047,-0.20345664,0.11782734
pair_005,1,0.1978969663930105,-0.20820057,0.12031817
pair_005,0,0.0404484779893427,-0.14928472,0.100984
pair_005,1,0.0290130329552509,-0.13971937,0.0972111
pair_005,1,0.0264861658873042,-0.17561722,0.10927077
pair_005,0,0.0210472265997289,-0.1425798,0.09530876
pair_005,0,0.0147617833751758,-0.22022343,0.12500933
pair_005,0,0.0051148359296249,-0.22699416,0.12631191
pair_005,0,0.0050660266251165,-0.21728826,0.12214633
pair_005,0,0.0026491658826485,-0.18282914,0.1121755
pair_008,0,0.3702828524618757,-0.61019003,0.2132178
pair_008,1,0.0519555912296884,-0.60305095,0.21689512
pair_008,0,0.0402613095998886,-0.51595813,0.20692745
pair_008,0,0.0265587265094512,-0.63277286,0.20787916
pair_008,0,0.0230264156829153,-0.5883763,0.20201318
pair_008,0,0.0219828820338428,-0.59441143,0.2141708
pair_008,1,0.0215417730269028,-0.60344726,0.21227257
pair_008,1,0.0164767432315365,-0.51709414,0.20759775
pair_008,0,0.0059555331807279,-0.59467435,0.21468179
pair_008,0,0.0008532922170956,-0.5735123,0.2100498
pair_014,0,0.7620408061067052,-0.45565498,0.19926731
pair_014,1,0.7538316801328573,-0.4339788,0.19568257
pair_014,0,0.2654801961046565,-0.36678004,0.1961809
pair_014,0,0.0975719245289943,-0.4414506,0.19524777
pair_014,0,0.0732768343996602,-0.433681,0.19759753
pair_014,0,0.0722405764727579,-0.41487777,0.19592671
pair_014,0,0.0716004309314703,-0.39306796,0.19250911
pair_014,0,0.0322949463393258,-0.35009313,0.18955341
