pair_id,set_type,gt_found,anchor_err,anchor_ok,a_big,a_grad,a_rout,a_fall,a_lminl,a_lmrms,a_g,gt_rank,g_big,g_grad,g_rout,g_fall,g_lminl,g_lmrms,g_g,g_minus_a
pair_000,SetA,1,242.502715565361,0,0.20955796539783478,0.23809002339839935,0.16259780526161194,0.6340544521808624,3,7.713624310270756,0.19879257238913445,,,,,,,,,
pair_001,SetA,1,0.15627747241540102,1,0.24459600448608398,0.11444804072380066,0.1623910367488861,0.6083191335201263,2,8.534244742994739,0.0018781652895257794,,,,,,,,,
pair_002,SetA,1,167.31575890959354,0,0.11638449132442474,-0.03637078404426575,0.0855519026517868,0.33829353749752045,0,10.29967637032025,-0.6172953208549707,,,,,,,,,
pair_003,SetA,1,251.52470215620306,0,0.21627028286457062,0.17776145040988922,0.17984451353549957,0.6261960119009018,2,6.819090848492928,0.05907776749160831,,,,,,,,,
pair_004,SetA,1,60.79238590628019,0,0.13104240596294403,0.08927834779024124,0.09125620871782303,0.5854755565524101,0,9.656603957913983,-0.823093433337033,,,,,,,,,
pair_005,SetA,1,125.66766502545318,0,0.2478039711713791,0.08226430416107178,0.18758471310138702,0.6150933355093002,2,9.018499505645789,-0.03904685491890114,6.0,0.25399675965309143,0.07083308696746826,0.19554097950458527,0.5780881494283676,3.0,10.327955589886445,0.14247550072390114,0.18152235564280228
pair_006,SetA,1,155.46165828189794,0,0.3444785475730896,0.09354226291179657,0.3623839020729065,0.013989537954330444,4,11.828637565952668,1.7364032480516078,,,,,,,,,
pair_007,SetA,1,0.46399244774121434,1,0.11361665278673172,0.14141619205474854,0.03605492785573006,0.6856355480849743,1,7.582875444051551,-0.8172050993244465,,,,,,,,,
pair_008,SetA,1,20.057897188375872,0,0.09491458535194397,0.21625636518001556,0.0063072312623262405,0.7372243534773588,2,8.159861109929098,-0.7468090790782935,6.0,0.07496315240859985,0.21266010403633118,-0.03500932455062866,0.797023594379425,3.0,9.806460455570434,-0.8792900774857619,-0.1324809984074684
pair_009,SetA,1,169.35732695063314,0,0.24651893973350525,0.13412317633628845,0.18363690376281738,0.637880265712738,3,6.17178329908861,0.29110842417895205,3.0,0.25345712900161743,0.15408207476139069,0.17434313893318176,0.6585161983966827,3.0,5.300085762599421,0.3479671219232985,0.05685869774434643
pair_010,SetA,1,0.4638655022163954,1,0.20480449497699738,0.19276006519794464,0.14712850749492645,0.5006384998559952,5,3.559026084010437,0.893900336548777,,,,,,,,,
pair_011,SetA,1,0.3796304028023408,1,0.2766743302345276,0.21533150970935822,0.24243028461933136,0.6004305928945541,3,5.854291355298886,0.6411888124486689,,,,,,,,,
pair_012,SetA,1,0.2637083177546133,1,0.10299002379179001,0.03984734043478966,0.05449364334344864,0.48942407220602036,4,7.291547618075786,-0.11636397354742489,,,,,,,,,
pair_013,SetA,1,0.2978703643747182,1,0.13845792412757874,0.04790567606687546,0.03440829738974571,0.7414135076105595,5,6.843488389215937,-0.21275501954385967,,,,,,,,,
pair_014,SetA,1,279.05076283183956,0,0.2624568045139313,0.17988824844360352,0.17649675905704498,0.555225059390068,0,8.005206639015219,0.008645678112944533,,,,,,,,,
pair_015,SetA,1,0.24011216274098207,1,0.24923893809318542,0.19472607970237732,0.2043365240097046,0.6040335893630981,3,9.557719393244394,0.3069838081149306,,,,,,,,,
pair_016,SetA,1,76.37412098565409,0,0.2091071456670761,0.10853606462478638,0.16611221432685852,0.4969503581523895,3,7.9658361428380795,0.29459038487046585,3.0,0.17264531552791595,0.12184363603591919,0.11445745825767517,0.5415558516979218,4.0,6.861729616746301,0.27730784975774625,-0.0172825351127196
