pair_id,set_type,v39_rot_err,v39_scale_err,peak_score,th_margin,th_curvature
pair_001,SetA,0.08919014541747183,0.061220457344363766,0.79407519698143,0.00011423826217649147,-0.1422834396362038
pair_005,SetA,0.00393464411193678,0.07470248526582246,0.7690836608409881,8.075237274174363e-05,-0.2909374237060724
pair_007,SetA,0.021708103013299507,0.027641544183095945,0.7727066755294799,0.0002623617649077925,-0.21121025085446551
pair_008,SetA,0.023108580077121577,0.08480039901534475,0.7356177687644958,5.764365196236909e-05,-0.47786474227908815
pair_009,SetA,0.007254470747597885,0.05930754628743529,0.7865080296993255,8.311271667482689e-05,-0.13303279876710758
pair_010,SetA,0.13936389521807513,0.06919413625178983,0.606445887684822,0.00018490850925445557,-0.2195942401885808
pair_011,SetA,0.03934074730958792,0.03031500142083665,0.7768317401409148,4.9430131912275854e-05,-0.22967338562009937
pair_012,SetA,0.04005444205362485,0.03516009698428135,0.7378219366073608,0.00020241737365722656,-0.5618381500243962
pair_013,SetA,0.028929556695903358,0.11164656207016144,0.7704106032848357,9.381771087646484e-05,-0.13458490371700546
pair_015,SetA,0.014970964816344967,0.036515229888554046,0.7815857470035552,4.805922508244187e-05,-0.12384653091430661
pair_016,SetA,0.03325134761942328,0.017538174930873396,0.7416153550148009,0.0004429042339324507,-0.4372119903564008
pair_019,SetA,0.013031107598837188,0.029124420913012372,0.7775953114032745,3.297328948981271e-05,-0.23187160491948683
pair_021,SetA,0.20095861954035743,0.05838793038938661,0.7866795361042022,0.00011430382728572219,-0.14421939849849072
pair_022,SetA,0.014638199582232225,0.014283850352390104,0.7407228589057921,0.0002654552459716575,-0.420525074005118
pair_023,SetA,0.059377485861118906,0.03147331738255765,0.7943869292736052,1.7136335372813782e-05,-0.15778064727776095
pair_025,SetA,0.03148329377026826,0.010458393694147361,0.7484733998775481,0.0002555251121520996,-0.20929098129269794
pair_026,SetA,0.03588173983124854,0.12436963059209916,0.6298198282718659,7.1108341217485105e-06,-0.46074986457829137
pair_028,SetA,0.06789753976567237,0.01136646319418233,0.6968023896217346,0.00042454004287717506,-0.38095474243160504
pair_032,SetA,0.019952589708113422,0.07007289157984253,0.7001245021820068,0.00030811429023747117,-0.3222370147705433
pair_033,SetA,0.026119277170028043,0.007002127356845023,0.81836057305336,0.0002087235450745073,-0.23048639297487122
pair_035,SetA,0.01555153013410493,0.05268662567579163,0.7820646584033966,0.00016444921493530273,-0.19287347793577322
pair_037,SetA,0.0004765105290536198,0.08284778512676638,0.773010629415512,2.4569034576371607e-05,-0.04592657089230733
pair_039,SetA,0.01033256018001083,0.009380554331208657,0.8011756122112274,3.569126129143729e-05,-0.14527320861810186
pair_041,SetA,0.009118060285028706,0.047455404952817304,0.824439537525177,0.000111663341522239,-0.2943325042724875
pair_047,SetA,0.010765489762098568,0.05129008682243352,0.7664866089820862,8.842945098885835e-05,-0.2158880233765536
pair_049,SetA,0.02638975994823678,0.05431239871526827,0.792108690738678,0.00012233853340148926,-0.11064291000368873
pair_051,SetA,0.09639200851745322,0.014283106035421156,0.7886920332908629,4.670619964586287e-05,-0.07303953170767484
pair_052,SetA,0.02406091504171129,0.005906230985120331,0.6960536122322082,0.0005686819553375466,-0.48307895660402156
pair_053,SetA,0.04218862579125027,0.0008568294715622926,0.752307653427124,5.151033401495919e-05,-0.13194799423219547
pair_054,SetA,0.004011487591905727,0.09138881677044708,0.6831221461296082,0.00036740899086007417,-0.38115501403814805
pair_055,SetA,0.08020618528710222,0.06713826234501674,0.7916015326976775,0.00011015534400937721,-0.09577274322509764
pair_057,SetA,0.01515356491157327,0.0764157743043441,0.7835196614265441,0.0002044558525085005,-0.22338867187494665
pair_059,SetA,0.010202873325362072,0.05994887479885058,0.7380640923976898,0.0002786695957183172,-0.3054666519164861
pair_062,SetA,0.010002681157222693,0.01923646593015782,0.7550359725952148,0.0003793656826019953,-0.4978251457214532
pair_063,SetA,0.05022152344545017,0.06381944567463194,0.792988908290863,5.49495220183438e-05,-0.12144088745111856
pair_064,SetA,0.08975280184350698,0.08331496966146013,0.7227249622344971,0.0004372954368592197,-0.3972339630127663
pair_065,SetA,0.006163024427267683,0.05030699555817364,0.7987450897693634,1.0973215103238232e-05,-0.14183998107912818
pair_066,SetA,0.031643544306361515,0.03160503251295843,0.720636522769928,0.00022176504135140718,-0.4635667800903852
pair_067,SetA,0.031095871047573276,0.01993033906623687,0.7620427131652832,0.00010560750961308152,-0.28234243392946107
pair_069,SetA,0.030553541544780016,0.020762621972760797,0.8199711501598358,0.0003267049789429377,-0.28313159942627836
pair_071,SetB,0.011592338526986934,0.049066865776147495,0.6792582601308822,4.886388778679862e-05,-0.05903005599972032
pair_072,SetB,0.020496853894027,0.05585387571733058,0.2637084759771824,5.508065223697178e-05,-0.13610988855363712
pair_074,SetB,0.0393709137902325,0.06501915876181208,0.46792493760585785,0.0003067910671233909,-0.39976954460145814
pair_077,SetB,0.0048414164465153675,0.013950787573241641,0.6485409617424011,0.00012412965297703416,-0.14480471611024723
pair_079,SetB,0.07168120591744742,0.03516627675420381,0.6619477719068526,1.548826694486305e-05,-0.06536483764647548
pair_081,SetB,0.0797917779597333,0.10083756340110206,0.6202638298273087,0.00012438595294961274,-0.12799739837650034
pair_084,SetB,0.11719477389234267,0.059556463689585115,0.48197556734085084,0.00016025900840760388,-0.29133200645450325
pair_087,SetB,0.07477286862057397,0.018095709523443304,0.7006684839725493,6.59823417662464e-05,-0.10247230529776273
pair_088,SetB,0.029876269182023296,0.003592848623227951,0.46138993501663206,0.00022513866424561657,-0.3258025646209805
pair_089,SetB,0.03184075563604605,0.11861935574429339,0.6934016346931458,0.00016686320304881708,-0.18525600433356712
pair_090,SetB,0.06338062760212182,0.014884892431286545,0.39382576048374174,9.426474571228027e-05,-0.13962864875793898
pair_092,SetB,0.04726798110097441,0.008371207149243887,0.48437235355377195,0.0019229263067245261,-2.5876212120056192
pair_093,SetB,0.036133502318153266,0.0059393085722394545,0.6702176123857498,6.009042263033226e-05,-0.12333869934089134
pair_095,SetB,0.038345117696129805,0.09051504809399447,0.6886283963918686,8.788704872197961e-06,-0.05624294281010299
pair_097,SetB,0.2010091868610179,0.09812202571718309,0.6201672196388244,7.364153861932898e-06,-0.059732198715156656
pair_099,SetB,0.023334818429037618,0.023315148713860978,0.6185837596654892,1.9413232803300318e-05,-0.07727146148681639
pair_100,SetB,0.08050109719137266,0.02812096430959521,0.5479271858930588,9.103417396549851e-05,-0.21502733230596144
pair_101,SetB,0.08431377155450476,0.06333903909330196,0.5808445960283279,6.0570240020818567e-05,-0.1816272735596147
pair_103,SetB,0.08182331813771038,0.007481763737104075,0.6267036914825439,3.242790699009568e-05,-0.11184096336367408
pair_105,SetB,0.08035065315386625,0.06263701151257628,0.6701682776212692,1.0767579078696521e-05,-0.059902667999267564
pair_106,SetB,0.1818964365984641,0.02425427596285168,0.2884515434503555,3.727972507477917e-05,-0.050970315933240855
pair_107,SetB,0.07941958230229,0.055171442299654316,0.5679878026247024,0.000113931298255876,-0.22268056869503278
pair_109,SetB,0.04470664169131178,0.012159978751387968,0.59981210231781,5.020797252652809e-05,-0.08874654769894795
pair_111,SetB,0.06651619087881522,0.062278117282899004,0.7714537739753722,7.193684577933013e-05,-0.1154613494872336
pair_114,SetB,0.08499770377592131,0.011173552722070212,0.33447310030460353,0.00023784339427945778,-0.19135475158689183
pair_115,SetB,0.05548667064449386,0.057940151981467736,0.6721386075019836,7.64131546016067e-06,-0.052959918975803426
pair_117,SetB,0.07145354144427607,0.2563099726781406,0.6626322150230407,4.192590713492095e-05,-0.09675741195671604
pair_122,SetB,0.0962117049407788,0.018823850824741584,0.29894614964723587,8.685886859893799e-05,-0.12135863304139069
pair_125,SetB,0.04541629916289747,0.057719855679888354,0.6430663257837296,2.2637844085737768e-05,-0.06684064865116744
pair_126,SetB,0.1626894443981728,0.032541128364705685,0.20943449214100837,1.9000098109261954e-05,-0.06933003664018055
pair_129,SetB,0.04267023839350559,0.06102604342631324,0.5996029645204544,5.825459957120582e-05,-0.07277607917783867
pair_130,SetB,0.0028443850848516306,0.12215177531095023,0.3057133227586746,9.010434150696911e-05,-0.1003426313400224
pair_131,SetB,0.06820865573910795,0.052046683914975134,0.614536252617836,2.7063488960310522e-05,-0.10462880134585183
pair_133,SetB,0.03842118069893541,0.16160733037250452,0.667292982339859,0.00013856887817387253,-0.13941645622255192
pair_135,SetB,0.05018747446357885,0.0421767254068115,0.6393876612186432,9.46432352065818e-05,-0.16344666481020728
