pair_id,set_type,v39_theta,gt_theta,v39_rot_err,v39_scale,gt_scale,v39_scale_err
pair_001,SetA,-0.35,-0.4391901454174718,0.08919014541747183,11.699999999999998,11.638779542655634,0.061220457344363766
pair_005,SetA,1.4,1.4039346441119367,0.00393464411193678,9.602999999999998,9.67770248526582,0.07470248526582246
pair_007,SetA,4.75,4.7282918969867005,0.021708103013299507,11.187,11.214641544183095,0.027641544183095945
pair_008,SetA,-3.1,-3.1231085800771217,0.023108580077121577,8.9775,9.062300399015344,0.08480039901534475
pair_009,SetA,-2.1,-2.092745529252402,0.007254470747597885,9.975,9.915692453712564,0.05930754628743529
pair_010,SetA,-4.7,-4.839363895218075,0.13936389521807513,11.88,11.94919413625179,0.06919413625178983
pair_011,SetA,-1.95,-1.910659252690412,0.03934074730958792,8.810999999999998,8.841315001420835,0.03031500142083665
pair_012,SetA,3.9,3.859945557946375,0.04005444205362485,9.153999999999998,9.18916009698428,0.03516009698428135
pair_013,SetA,-1.0,-1.0289295566959034,0.028929556695903358,11.7,11.81164656207016,0.11164656207016144
pair_015,SetA,-2.35,-2.364970964816345,0.014970964816344967,11.570999999999998,11.607515229888552,0.036515229888554046
pair_016,SetA,0.4,0.4332513476194233,0.03325134761942328,10.074749999999998,10.057211825069125,0.017538174930873396
pair_019,SetA,2.65,2.663031107598837,0.013031107598837188,8.664499999999999,8.635375579086986,0.029124420913012372
pair_021,SetA,0.7,0.4990413804596425,0.20095861954035743,11.570999999999998,11.629387930389385,0.05838793038938661
pair_022,SetA,-2.7,-2.685361800417768,0.014638199582232225,10.377250000000002,10.391533850352392,0.014283850352390104
pair_023,SetA,5.05,4.990622514138881,0.059377485861118906,9.32325,9.291776682617442,0.03147331738255765
pair_025,SetA,-3.4,-3.431483293770268,0.03148329377026826,11.199999999999998,11.18954160630585,0.010458393694147361
pair_026,SetA,-3.5500000000000003,-3.585881739831249,0.03588173983124854,11.8405,11.9648696305921,0.12436963059209916
pair_028,SetA,1.0,0.9321024602343276,0.06789753976567237,11.570999999999998,11.559633536805816,0.01136646319418233
pair_032,SetA,-4.85,-4.869952589708113,0.019952589708113422,10.81825,10.888322891579843,0.07007289157984253
pair_033,SetA,1.7,1.726119277170028,0.026119277170028043,8.9775,8.970497872643154,0.007002127356845023
pair_035,SetA,2.3,2.284448469865895,0.01555153013410493,11.07225,11.019563374324209,0.05268662567579163
pair_037,SetA,-4.2,-4.200476510529054,0.0004765105290536198,10.705999999999998,10.623152214873231,0.08284778512676638
pair_039,SetA,-3.7,-3.710332560180011,0.01033256018001083,9.9,9.890619445668792,0.009380554331208657
pair_041,SetA,-0.55,-0.5408819397149713,0.009118060285028706,8.179499999999999,8.226955404952816,0.047455404952817304
pair_047,SetA,2.75,2.7607654897620986,0.010765489762098568,9.306,9.357290086822433,0.05129008682243352
pair_049,SetA,2.45,2.476389759948237,0.02638975994823678,10.988999999999995,11.043312398715264,0.05431239871526827
pair_051,SetA,-2.45,-2.353607991482547,0.09639200851745322,11.384999999999998,11.370716893964577,0.014283106035421156
pair_052,SetA,-0.25,-0.2259390849582887,0.02406091504171129,10.599999999999998,10.605906230985118,0.005906230985120331
pair_053,SetA,-4.75,-4.79218862579125,0.04218862579125027,11.483999999999998,11.48485682947156,0.0008568294715622926
pair_054,SetA,3.7,3.704011487591906,0.004011487591905727,10.47375,10.565138816770448,0.09138881677044708
pair_055,SetA,-0.85,-0.9302061852871022,0.08020618528710222,11.4425,11.509638262345018,0.06713826234501674
pair_057,SetA,-0.5,-0.5151535649115733,0.01515356491157327,8.599999999999998,8.676415774304342,0.0764157743043441
pair_059,SetA,1.2,1.210202873325362,0.010202873325362072,8.379,8.319051125201149,0.05994887479885058
pair_062,SetA,-2.35,-2.360002681157223,0.010002681157222693,8.23775,8.256986465930158,0.01923646593015782
pair_063,SetA,2.8,2.7497784765545497,0.05022152344545017,11.58625,11.522430554325368,0.06381944567463194
pair_064,SetA,3.05,3.139752801843507,0.08975280184350698,9.4,9.48331496966146,0.08331496966146013
pair_065,SetA,-3.3,-3.293836975572732,0.006163024427267683,11.999999999999998,11.949693004441825,0.05030699555817364
pair_066,SetA,-0.45,-0.4183564556936385,0.031643544306361515,10.174499999999998,10.206105032512957,0.03160503251295843
pair_067,SetA,4.05,4.0189041289524265,0.031095871047573276,9.230249999999996,9.21031966093376,0.01993033906623687
pair_069,SetA,0.5,0.46944645845522,0.030553541544780016,8.822,8.84276262197276,0.020762621972760797
pair_071,SetB,1.3,1.311592338526987,0.011592338526986934,10.174499999999998,10.223566865776146,0.049066865776147495
pair_072,SetB,-0.5499999999999999,-0.5704968538940269,0.020496853894027,10.296,10.35185387571733,0.05585387571733058
pair_074,SetB,-1.5,-1.5393709137902325,0.0393709137902325,8.734,8.799019158761812,0.06501915876181208
pair_077,SetB,-3.2,-3.2048414164465155,0.0048414164465153675,11.483999999999998,11.470049212426757,0.013950787573241641
pair_079,SetB,2.05,2.1216812059174472,0.07168120591744742,9.576,9.611166276754204,0.03516627675420381
pair_081,SetB,0.5,0.4202082220402667,0.0797917779597333,9.499999999999998,9.6008375634011,0.10083756340110206
pair_084,SetB,3.3,3.4171947738923425,0.11719477389234267,9.153999999999998,9.213556463689583,0.059556463689585115
pair_087,SetB,-0.75,-0.824772868620574,0.07477286862057397,9.9,9.918095709523444,0.018095709523443304
pair_088,SetB,0.45,0.4798762691820233,0.029876269182023296,8.599999999999998,8.59640715137677,0.003592848623227951
pair_089,SetB,-3.5,-3.468159244363954,0.03184075563604605,11.570999999999998,11.689619355744291,0.11861935574429339
pair_090,SetB,4.65,4.713380627602122,0.06338062760212182,9.873500000000002,9.858615107568715,0.014884892431286545
pair_092,SetB,4.9,4.852732018899026,0.04726798110097441,9.054499999999996,9.06287120714924,0.008371207149243887
pair_093,SetB,-2.6,-2.563866497681847,0.036133502318153266,8.379,8.384939308572239,0.0059393085722394545
pair_095,SetB,3.25,3.21165488230387,0.038345117696129805,11.570999999999998,11.661515048093992,0.09051504809399447
pair_097,SetB,0.0999999999999999,0.3010091868610178,0.2010091868610179,11.4425,11.540622025717184,0.09812202571718309
pair_099,SetB,4.1000000000000005,4.123334818429038,0.023334818429037618,8.734,8.757315148713861,0.023315148713860978
pair_100,SetB,3.65,3.5694989028086272,0.08050109719137266,9.675749999999995,9.70387096430959,0.02812096430959521
pair_101,SetB,-0.5499999999999999,-0.4656862284454952,0.08431377155450476,8.513999999999998,8.5773390390933,0.06333903909330196
pair_103,SetB,3.4,3.4818233181377103,0.08182331813771038,11.8405,11.847981763737105,0.007481763737104075
pair_105,SetB,-4.55,-4.630350653153866,0.08035065315386625,11.88,11.817362988487425,0.06263701151257628
pair_106,SetB,3.4,3.218103563401536,0.1818964365984641,10.2765,10.252245724037149,0.02425427596285168
pair_107,SetB,-0.1,-0.02058041769771,0.07941958230229,8.457499999999998,8.512671442299652,0.055171442299654316
pair_109,SetB,-2.1,-2.0552933583086883,0.04470664169131178,11.2,11.187840021248611,0.012159978751387968
pair_111,SetB,-1.05,-0.9834838091211848,0.06651619087881522,8.039250000000001,8.1015281172829,0.062278117282899004
pair_114,SetB,0.55,0.6349977037759214,0.08499770377592131,10.274250000000002,10.285423552722072,0.011173552722070212
pair_115,SetB,-2.2,-2.1445133293555063,0.05548667064449386,11.8405,11.898440151981468,0.057940151981467736
pair_117,SetB,4.65,4.578546458555724,0.07145354144427607,11.483999999999998,11.227690027321858,0.2563099726781406
pair_122,SetB,-0.45,-0.3537882950592212,0.0962117049407788,9.675749999999995,9.656926149175254,0.018823850824741584
pair_125,SetB,-3.5,-3.4545837008371025,0.04541629916289747,10.274249999999997,10.216530144320108,0.057719855679888354
pair_126,SetB,1.0,1.1626894443981728,0.1626894443981728,11.570999999999998,11.538458871635292,0.032541128364705685
pair_129,SetB,-3.35,-3.3926702383935057,0.04267023839350559,8.513999999999998,8.57502604342631,0.06102604342631324
pair_130,SetB,-4.05,-4.047155614915148,0.0028443850848516306,11.054999999999996,11.177151775310946,0.12215177531095023
pair_131,SetB,1.2,1.268208655739108,0.06820865573910795,9.67575,9.727796683914976,0.052046683914975134
pair_133,SetB,4.05,4.088421180698935,0.03842118069893541,10.593,10.754607330372504,0.16160733037250452
pair_135,SetB,-0.5,-0.5501874744635789,0.05018747446357885,8.181,8.138823274593188,0.0421767254068115
pair_139,SetB,1.25,1.2850031112809193,0.035003111280919263,9.602999999999998,9.670912511076502,0.06791251107650353
