pair_id,set_type,d_th,cand_th,gt_err,score_A,score_B,score_C,score_D,score_E,score_interp_area,score_interp_cubic,score_interp_linear
pair_001,SetA,-0.3,-0.6499999999999999,0.2108098545825281,0.8423510193824768,0.6691256165504456,0.7903834164142609,0.7557383477687836,0.6691256761550903,0.7903834164142609,0.7092929661273956,0.7143499135971069
pair_001,SetA,-0.25,-0.6,0.16080985458252817,0.843254029750824,0.6709593534469604,0.7915655910968781,0.7571066319942474,0.6709592342376709,0.7915655910968781,0.7106251180171966,0.7159822106361389
pair_001,SetA,-0.2,-0.55,0.11080985458252823,0.8441185355186462,0.6723085045814514,0.7925755441188811,0.7582135498523712,0.6723085641860962,0.7925755441188811,0.7124515831470489,0.7176129937171936
pair_001,SetA,-0.15000000000000002,-0.5,0.06080985458252819,0.844680666923523,0.6733368635177612,0.793277508020401,0.7590087354183197,0.6733368039131165,0.793277508020401,0.7130517542362212,0.7184174299240111
pair_001,SetA,-0.10000000000000003,-0.45,0.0108098545825282,0.8450863361358643,0.6735904216766357,0.7936375796794891,0.7593384087085724,0.6735904812812805,0.7936375796794891,0.7132633090019226,0.7184815049171447
pair_001,SetA,-0.050000000000000044,-0.4,0.03919014541747179,0.8454111814498901,0.6739104986190796,0.7939609587192535,0.7596608102321625,0.6739104390144348,0.7939609587192535,0.7122208356857299,0.7179342329502105
pair_001,SetA,-5.551115123125783e-17,-0.35000000000000003,0.08919014541747178,0.8455255627632141,0.6740242838859558,0.79407519698143,0.7597749531269073,0.6740243434906006,0.79407519698143,0.7116432845592497,0.7177385509014129
pair_001,SetA,0.04999999999999993,-0.30000000000000004,0.13919014541747177,0.8454433083534241,0.6734114289283752,0.793833726644516,0.7594273388385773,0.6734113693237305,0.793833726644516,0.7116412997245788,0.7174184918403624
pair_001,SetA,0.09999999999999992,-0.25000000000000006,0.18919014541747176,0.8451360464096069,0.6723501682281494,0.7933002650737763,0.7587430775165558,0.6723501086235046,0.7933002650737763,0.7117585301399231,0.7174605488777159
pair_001,SetA,0.1499999999999999,-0.20000000000000007,0.23919014541747174,0.8446710109710693,0.6710569858551025,0.7925867855548858,0.7578639686107635,0.6710569262504578,0.7925867855548858,0.7116977989673614,0.7173031449317933
pair_001,SetA,0.1999999999999999,-0.15000000000000008,0.28919014541747173,0.8439446091651917,0.6689561009407043,0.791448038816452,0.7564503252506256,0.6689560413360596,0.791448038816452,0.7093652367591857,0.7156826674938201
pair_001,SetA,0.24999999999999983,-0.10000000000000014,0.33919014541747167,0.8431661128997803,0.6664130091667175,0.7901401996612549,0.7547895908355713,0.6664130687713623,0.7901401996612549,0.7092951953411102,0.7151889979839324
pair_001,SetA,0.2999999999999999,-0.0500000000000001,0.3891901454174717,0.8419072031974792,0.6629962921142578,0.7882339298725127,0.7524517476558685,0.6629962921142578,0.7882339298725127,0.7058969914913177,0.7122631728649138
pair_005,SetA,-0.3,1.0999999999999999,0.3039346441119368,0.8265408873558044,0.6046389937400818,0.7599702835083008,0.7155898809432983,0.6046388745307922,0.7599702835083008,0.683736765384674,0.6904373943805694
pair_005,SetA,-0.25,1.15,0.2539346441119368,0.8284510374069214,0.6099288463592529,0.7628944158554076,0.7191900014877319,0.6099289655685425,0.7628944158554076,0.6862153649330138,0.6929777979850769
pair_005,SetA,-0.2,1.2,0.20393464411193674,0.8299497365951538,0.6141219139099121,0.7652013719081878,0.7220357954502106,0.6141218543052673,0.7652013719081878,0.6876399755477905,0.6944824814796448
pair_005,SetA,-0.15000000000000002,1.25,0.1539346441119367,0.8311931490898132,0.6175987124443054,0.7671148359775543,0.7243959605693817,0.6175987720489502,0.7671148359775543,0.6886219143867492,0.6953922569751739
pair_005,SetA,-0.10000000000000003,1.2999999999999998,0.10393464411193687,0.8320461511611938,0.6197908520698547,0.7683695077896118,0.7259184122085571,0.6197906732559204,0.7683695077896118,0.6895473480224609,0.6963103890419006
pair_005,SetA,-0.050000000000000044,1.3499999999999999,0.053934644111936825,0.8324664235115051,0.6209214925765991,0.7690029084682464,0.7266938984394073,0.6209213733673096,0.7690029084682464,0.6899572253227233,0.6967808842658996
pair_005,SetA,-5.551115123125783e-17,1.4,0.00393464411193678,0.8325837254524231,0.6209169030189514,0.7690836608409881,0.7267502844333649,0.6209168434143066,0.7690836608409881,0.6887706458568572,0.6960850477218627
pair_005,SetA,0.04999999999999993,1.4499999999999997,0.04606535588806304,0.8322455883026123,0.6195507049560547,0.7684370696544647,0.7258980572223663,0.6195505261421204,0.7684370696544647,0.6876498758792877,0.6950278997421264
pair_005,SetA,0.09999999999999992,1.4999999999999998,0.09606535588806309,0.831533670425415,0.6172546744346619,0.7672499537467956,0.7243941426277161,0.6172546148300171,0.7672499537467956,0.6860534608364105,0.6935906767845154
pair_005,SetA,0.1499999999999999,1.5499999999999998,0.14606535588806313,0.8305530548095703,0.6142692565917969,0.7656678974628448,0.7224111258983612,0.6142691969871521,0.7656678974628448,0.6860346198081969,0.6932219326496123
pair_005,SetA,0.1999999999999999,1.5999999999999999,0.19606535588806318,0.829158365726471,0.6105035543441772,0.7635618686676025,0.7198308706283569,0.6105033755302429,0.7635618686676025,0.6862589597702027,0.6929645955562591
pair_005,SetA,0.24999999999999983,1.6499999999999997,0.246065355888063,0.8275089263916016,0.6061164140701294,0.7610911905765533,0.7168127000331879,0.6061164736747742,0.7610911905765533,0.6864750385284423,0.6927287578582764
pair_005,SetA,0.2999999999999999,1.6999999999999997,0.29606535588806304,0.8253405690193176,0.6002517938613892,0.757813936471939,0.7127961814403534,0.6002517938613892,0.757813936471939,0.6848153412342071,0.690797644853592
pair_007,SetA,-0.3,4.45,0.2782918969867003,0.8256049752235413,0.6482193470001221,0.7685626864433288,0.7305344939231873,0.6354640126228333,0.7685626864433288,0.6800844550132751,0.6859666407108306
pair_007,SetA,-0.25,4.5,0.2282918969867005,0.8266831040382385,0.6506386399269104,0.769930350780487,0.7320951819419861,0.6375072598457336,0.769930350780487,0.6809674739837646,0.6869067192077637
pair_007,SetA,-0.2,4.55,0.17829189698670067,0.8275684118270874,0.652675449848175,0.7710315227508544,0.7333402633666992,0.639112114906311,0.7710315227508544,0.6819376170635223,0.6879091620445251
