Model,Precision,Recall,F1,ROC-AUC,PR-AUC,FPR,FNR,Set A Acc,Set B Acc,Set C Acc,Threshold
G0,0.7592592592592593,1.0,0.8631578947368421,0.4953095684803001,0.785709392706682,1.0,0.0,1.0,1.0,0.0,0.0
G1,0.7592592592592593,1.0,0.8631578947368421,0.6106941838649156,0.795156241533056,1.0,0.0,1.0,1.0,0.0,0.0
G2,0.7592592592592593,1.0,0.8631578947368421,0.573170731707317,0.8084298394060512,1.0,0.0,1.0,1.0,0.0,0.0
G3,0.7592592592592593,1.0,0.8631578947368421,0.5666041275797373,0.788198284854937,1.0,0.0,1.0,1.0,0.0,0.0
G4,0.7592592592592593,1.0,0.8631578947368421,0.42401500938086306,0.741884220906855,1.0,0.0,1.0,1.0,0.0,0.0
G5,0.7592592592592593,1.0,0.8631578947368421,0.40337711069418386,0.7199706082039283,1.0,0.0,1.0,1.0,0.0,0.0
G6,0.7592592592592593,1.0,0.8631578947368421,0.4146341463414634,0.7258238213976516,1.0,0.0,1.0,1.0,0.0,0.0
