pair_id,base_err,base_margin,new_err_lr,new_err_hgb,rescued_lr,rescued_hgb
pair_003,251.52470215620306,0.018453082767336454,162.34148612911122,155.9102363084931,0,0
pair_004,60.79238590628019,0.02952028091790515,12.31763739973422,154.54225673876988,0,0
pair_006,155.46165828189794,0.009737169889643758,265.1127889848831,55.34578230966245,0,0
pair_017,184.84568650211244,0.003086475054723925,25.93859665487561,162.6224770194389,0,0
pair_020,217.54557031524078,0.011357052813600887,306.5959089155023,306.5959089155023,0,0
pair_029,271.8240048917937,0.14630591721281672,230.4045475310311,230.4045475310311,0,0
pair_038,73.62219926947071,0.06356050250536394,73.62219926947071,42.55776298296245,0,0
pair_043,83.58952847245185,0.05723158166323558,17.30076583549312,98.36507578865847,0,0
pair_044,219.23129061218017,0.2742384358084794,235.55115887765032,37.133638538840415,0,0
pair_045,254.5035440874049,0.08889191458753254,196.28845313277182,266.54511563264015,0,0
pair_048,58.65504543333956,0.01869081978735021,212.3139683680186,16.607505693406843,0,0
pair_050,35.761952442897076,0.2659334510205402,35.761952442897076,100.79154469282648,0,0
pair_061,229.61084915966532,0.0016152119542168428,173.44656890367062,185.30158428496364,0,0
pair_070,133.45133560164737,0.017474740726929866,120.50817441101567,133.45133560164737,0,0
pair_073,164.6318859693069,0.22748595161748425,221.26179072402718,23.57516026934227,0,0
pair_080,268.0757556445033,0.04354385328169741,181.02444614651003,268.0757556445033,0,0
pair_082,35.24618251851031,0.0013810541085658296,35.24618251851031,68.02870455747258,0,0
pair_083,262.7504871705289,0.011201161030439525,334.76949903485,334.76949903485,0,0
pair_096,31.625826632224026,0.173634781055524,5.380395854710208,10.627613717772492,0,0
pair_098,249.94741939303088,0.04525273355223014,249.94741939303088,249.94741939303088,0,0
pair_113,176.90041551834332,0.05435772510663216,185.9824498223463,176.90041551834332,0,0
pair_123,40.47281713730718,0.147889952962578,40.47281713730718,13.455757720536225,0,0
pair_128,12.644986437621643,0.1955289971427865,279.35849470073185,12.644986437621643,0,0
pair_132,249.57403132858803,0.01892062411123393,118.48835655171203,69.56375116777015,0,0
pair_136,285.5162717828511,0.20260532472061954,181.76039104489467,285.5162717828511,0,0
pair_137,203.87377841696812,0.047578870153492034,32.2861203101076,203.87377841696812,0,0
