pair_id,base_err,base_margin,new_err,is_broken
pair_001,0.15627747241540102,0.5025839298501882,157.69180623186568,1
pair_005,125.66766502545318,0.06409951313577461,26.38560718079196,0
pair_007,0.46399244774121434,0.09473385018058411,162.98370634121346,1
pair_008,20.057897188375872,0.2566125537933509,26.034672934681197,0
pair_009,169.35732695063314,0.016276418552025218,219.09871084968353,0
pair_010,0.4638655022163954,0.0020350506026718396,100.47728302064604,1
pair_011,0.3796304028023408,0.053498192476640005,189.76924853594764,1
pair_012,0.2637083177546133,0.06999511159345989,177.59926317772798,1
pair_013,0.2978703643747182,0.7403784208557839,211.38261069594748,1
pair_015,0.24011216274098207,0.00376357348378209,0.24011216274098207,0
pair_016,76.37412098565409,0.09079737424553602,43.091003051742,0
pair_019,0.5749702477497144,0.0056963491380783715,177.6871186482551,1
pair_021,0.29302340417425976,0.6940558335888325,0.29302340417425976,0
pair_022,0.5779999987101482,0.22174647816655368,96.77092495664336,1
pair_023,0.6515770767601963,0.46840980236207175,185.42675846190008,1
pair_025,0.4007024107691836,0.20809501172938785,60.59681418354061,1
pair_026,0.09167048776171266,0.17605110264531854,18.028775065748775,1
pair_028,0.14548934192212729,0.15451771144110749,195.14019998157016,1
pair_032,79.4359577207898,0.06357294822325188,167.4590934018591,0
pair_033,0.019423389437072804,0.6453769292138603,0.019423389437072804,0
pair_035,0.4268925575822685,0.1165549947647444,17.62161358719232,1
pair_037,0.48142570647768745,0.18254290125547545,150.773905277448,1
pair_039,90.74095319755213,0.08586041238014464,64.58164070995365,0
pair_041,239.5904107311606,0.030379596346588267,0.18464288854023617,0
pair_047,167.46590025829622,0.006210962073628812,6.782575318549405,0
pair_049,0.35447447294926504,0.4974584707138252,0.35447447294926504,0
pair_051,0.4696863523036584,0.09168629023775599,147.8559545297486,1
pair_052,27.25144532828571,0.01364384034957955,37.25132645471001,0
pair_053,10.986331669230323,0.0970130047212151,128.53794122202189,0
pair_054,0.3048593337118826,0.08670227813672948,85.05889456522416,1
pair_055,0.46369596079683373,0.6039601455044339,138.55091338955322,1
pair_057,199.30943708798682,0.017868567182466766,14.69996049730969,0
pair_059,0.1010568972230651,0.7552711430005439,153.23351901902407,1
pair_062,61.14047191426282,0.012719812651112883,26.128753131676486,0
pair_063,0.6042933949573488,0.3755792113703751,171.1697491075286,1
pair_064,4.832468991783728,0.09832628913242014,132.0251394457031,1
pair_065,0.17947771023021353,0.23381976551378036,139.26046928523922,1
pair_066,28.20084451684959,0.10567719082454186,21.200844677923463,0
pair_067,0.18933611752193316,0.5223004360036393,87.95458767940413,1
pair_069,0.6121705750699105,0.21616061459859343,200.99215560918444,1
pair_071,0.1969157821608585,0.0638903893569226,0.1969157821608585,0
pair_072,260.2117025264246,0.00884359767846149,278.29758762383767,0
pair_074,0.06458185961796825,0.10828645974941087,37.94858080473623,1
pair_077,150.46713034156207,0.03295623136461001,150.46713034156207,0
pair_079,13.266356053735084,0.14977431900276278,66.78989061654644,0
pair_081,270.4132779805538,0.041231258489536016,79.85027764855997,0
pair_084,20.681808228757934,0.0615312322374858,31.404706223624114,0
pair_087,0.35974940726065907,0.2631385302859798,38.74738892213291,1
pair_088,278.7754086203702,0.040913118370435986,55.76681600859637,0
pair_089,0.2064131811643376,0.2687607195688346,65.99166731729703,1
pair_090,0.520674180839408,0.20600788243294166,135.92381002155125,1
pair_092,0.23575506796076695,0.3619545327050132,190.45972016845926,1
pair_093,156.6781691362187,0.009623517676238369,133.65647840859555,0
pair_095,0.278223824473799,0.04986640808978493,137.3325334363382,1
pair_097,185.30230995044542,0.04237296695938242,145.31345979912192,0
pair_099,182.67082086171848,0.141314420560821,102.40482311650842,0
pair_100,108.59142018475467,0.02756471701019836,113.8496029009573,0
pair_101,153.57932589781583,0.07431648036036265,186.5857782028506,0
pair_103,0.22131568973202154,0.18067192918140962,135.3404433015886,1
pair_105,0.21392838477795845,0.27371299144802863,21.900708272185543,1
pair_106,241.9531302544068,0.0005061679227483795,41.96241990792509,0
pair_107,47.753291139004624,0.04365499188982139,76.77481503889315,0
pair_109,0.49397388479569126,0.2691290838309699,143.6703328349944,1
pair_111,0.5734421224396048,0.477413246761995,203.35676678565736,1
pair_114,116.59179802423391,0.03119915447200361,60.58507438685612,0
pair_115,228.85672026744567,0.016416219151719202,29.300551157792448,0
pair_117,0.6213588652860915,0.09376668949422506,114.11406222994896,1
pair_122,10.102361303680372,0.013384559276740204,10.102361303680372,0
pair_125,75.18939131648605,0.04571596116672458,50.115053627247924,0
pair_126,104.0232360809939,0.03973846031267536,75.00941199028007,0
pair_129,0.3580276258020229,0.25067247330469167,242.2046869919924,1
pair_130,230.28342949711794,0.023819361555441287,215.8754074131076,0
pair_131,0.2144513298699704,0.0007939704861825714,256.84688098376216,1
pair_133,0.4237567681768715,0.10520242118386214,149.08630803702155,1
pair_135,217.882526730019,0.06586568970757123,31.628408462533777,0
pair_139,0.4930703095079857,0.06446159789815775,276.95496910080175,1
