pair_id,set_type,cls,gt_rank,best_gterr,deep_gterr,n_cands,mode_strong,gt_in_top1,gt_in_top5,gt_in_top10,gt_in_top20,gt_in_top50,gt_in_top100,gt_in_top200,gt_in_deep_pool
pair_051,SetA,R1,1.0,0.4696863523036584,0.4696863523036584,200,0,True,True,True,True,True,True,True,True
pair_052,SetA,R2,7.0,3.2547122928065284,3.2547122928065284,200,1,False,False,True,True,True,True,True,True
pair_053,SetA,R2,10.0,2.9242457685504495,1.1415059804672942,200,0,False,False,True,True,True,True,True,True
pair_054,SetA,R1,1.0,0.3048593337118826,0.3048593337118826,200,0,True,True,True,True,True,True,True,True
pair_055,SetA,R1,1.0,0.46369596079683373,0.46369596079683373,200,0,True,True,True,True,True,True,True,True
pair_056,SetA,R4,,10.439555593090033,10.439555593090033,200,0,False,False,False,False,False,False,False,False
pair_057,SetA,R2,3.0,0.31647427948354695,0.31647427948354695,200,0,False,True,True,True,True,True,True,True
pair_058,SetA,R4,,6.175168703449354,6.175168703449354,200,0,False,False,False,False,False,False,False,False
pair_059,SetA,R1,1.0,0.1010568972230651,0.1010568972230651,200,1,True,True,True,True,True,True,True,True
pair_060,SetA,R4,,7.822377698531767,7.822377698531767,200,0,False,False,False,False,False,False,False,False
pair_061,SetA,R2,5.0,0.3515706681079973,0.3515706681079973,200,1,False,True,True,True,True,True,True,True
pair_062,SetA,R2,15.0,4.106229050911329,0.25034611435483145,200,1,False,False,False,True,True,True,True,True
pair_063,SetA,R1,1.0,0.6042933949573488,0.6042933949573488,200,0,True,True,True,True,True,True,True,True
pair_064,SetA,R1,1.0,4.832468991783728,0.3456042905773635,200,1,True,True,True,True,True,True,True,True
pair_065,SetA,R1,1.0,0.17947771023021353,0.17947771023021353,200,1,True,True,True,True,True,True,True,True
pair_066,SetA,R2,2.0,0.20091251620069484,0.20091251620069484,200,1,False,True,True,True,True,True,True,True
pair_067,SetA,R1,1.0,0.18933611752193316,0.18933611752193316,200,0,True,True,True,True,True,True,True,True
pair_068,SetA,R4,,5.510535441834709,5.510535441834709,200,0,False,False,False,False,False,False,False,False
pair_069,SetA,R1,1.0,0.6121705750699105,0.6121705750699105,200,0,True,True,True,True,True,True,True,True
pair_070,SetB,R2,63.0,3.502244443967699,0.5292317550942559,200,1,False,False,False,False,False,True,True,True
pair_071,SetB,R1,1.0,0.1969157821608585,0.1969157821608585,200,1,True,True,True,True,True,True,True,True
pair_072,SetB,R2,29.0,4.718504288882489,0.38564167335073185,200,1,False,False,False,False,True,True,True,True
pair_073,SetB,R2,13.0,0.5433798666598878,0.5433798666598878,200,1,False,False,False,True,True,True,True,True
pair_074,SetB,R1,1.0,0.06458185961796825,0.06458185961796825,200,1,True,True,True,True,True,True,True,True
pair_075,SetB,R4,,13.834574432153198,17.23786186558431,200,1,False,False,False,False,False,False,False,False
pair_076,SetB,R4,,5.546937778976221,5.546937778976221,200,1,False,False,False,False,False,False,False,False
pair_077,SetB,R2,12.0,2.7994977252419226,1.2441000774496604,200,0,False,False,False,True,True,True,True,True
pair_078,SetB,R2,24.0,0.4469091809157674,0.4469091809157674,200,0,False,False,False,False,True,True,True,True
pair_079,SetB,R2,5.0,0.5475035745803775,0.5475035745803775,200,1,False,True,True,True,True,True,True,True
pair_080,SetB,R2,74.0,0.43270181200988245,0.43270181200988245,200,0,False,False,False,False,False,True,True,True
pair_081,SetB,R2,4.0,0.1697208768895147,0.1697208768895147,200,0,False,True,True,True,True,True,True,True
pair_082,SetB,R2,131.0,4.585604323399189,4.585604323399189,200,0,False,False,False,False,False,False,True,True
pair_083,SetB,R2,51.0,0.5128303871250103,180.13998091826323,200,1,False,False,False,False,False,True,True,False
pair_084,SetB,R2,11.0,0.3839917327157892,0.3839917327157892,200,1,False,False,False,True,True,True,True,True
pair_085,SetB,R4,,12.625112564643318,11.247748489249185,200,0,False,False,False,False,False,False,False,False
pair_086,SetB,R4,,39.95978984679365,51.41746884433144,200,0,False,False,False,False,False,False,False,False
pair_087,SetB,R1,1.0,0.35974940726065907,0.35974940726065907,200,1,True,True,True,True,True,True,True,True
pair_088,SetB,R2,2.0,0.35811793522282404,0.35811793522282404,200,1,False,True,True,True,True,True,True,True
pair_089,SetB,R1,1.0,0.2064131811643376,0.2064131811643376,200,0,True,True,True,True,True,True,True,True
pair_090,SetB,R1,1.0,0.520674180839408,0.520674180839408,200,1,True,True,True,True,True,True,True,True
pair_091,SetB,R4,,12.033852604461815,12.033852604461815,200,0,False,False,False,False,False,False,False,False
pair_092,SetB,R1,1.0,0.23575506796076695,0.23575506796076695,200,0,True,True,True,True,True,True,True,True
pair_093,SetB,R2,2.0,0.4862669458840429,0.4862669458840429,200,1,False,True,True,True,True,True,True,True
pair_094,SetB,R4,,6.916524641756361,24.93923741027177,200,1,False,False,False,False,False,False,False,False
pair_095,SetB,R1,1.0,0.278223824473799,0.278223824473799,200,0,True,True,True,True,True,True,True,True
pair_096,SetB,R2,72.0,0.66912421954673,0.44483998233501426,200,1,False,False,False,False,False,True,True,True
pair_097,SetB,R2,9.0,0.48877760099964623,0.48877760099964623,200,1,False,False,True,True,True,True,True,True
pair_098,SetB,R2,9.0,4.445243821990638,0.46270007730820867,200,1,False,False,True,True,True,True,True,True
pair_099,SetB,R2,2.0,0.26492742988386947,0.26492742988386947,200,0,False,True,True,True,True,True,True,True
pair_100,SetB,R2,4.0,0.4343871138619791,0.4343871138619791,200,1,False,True,True,True,True,True,True,True
pair_101,SetB,R2,6.0,0.4825144287211247,0.4825144287211247,200,1,False,False,True,True,True,True,True,True
pair_102,SetB,R3,,5.221090973717679,0.33654706836249676,200,1,False,False,False,False,False,False,False,True
pair_103,SetB,R1,1.0,0.22131568973202154,0.22131568973202154,200,0,True,True,True,True,True,True,True,True
pair_104,SetB,R4,,11.916589226906842,11.969117184292982,200,0,False,False,False,False,False,False,False,False
pair_105,SetB,R1,1.0,0.21392838477795845,0.21392838477795845,200,1,True,True,True,True,True,True,True,True
pair_106,SetB,R2,6.0,0.14898165101886465,0.14898165101886465,200,1,False,False,True,True,True,True,True,True
pair_107,SetB,R2,18.0,0.3200855269775295,0.3200855269775295,200,1,False,False,False,True,True,True,True,True
pair_108,SetB,R4,,75.5411701022206,75.5411701022206,200,0,False,False,False,False,False,False,False,False
pair_109,SetB,R1,1.0,0.49397388479569126,0.49397388479569126,200,1,True,True,True,True,True,True,True,True
pair_110,SetB,R4,,6.243154423935463,32.70950081615013,200,0,False,False,False,False,False,False,False,False
pair_111,SetB,R1,1.0,0.5734421224396048,0.5734421224396048,200,0,True,True,True,True,True,True,True,True
pair_112,SetB,R4,,7.8223350892174,42.04524163474784,200,1,False,False,False,False,False,False,False,False
pair_113,SetB,R2,150.0,0.4406170023781603,7.310993415016063,200,1,False,False,False,False,False,False,True,False
pair_114,SetB,R2,4.0,4.596447255359997,0.5347024764370714,200,1,False,True,True,True,True,True,True,True
pair_115,SetB,R2,7.0,0.3080908425932617,0.3080908425932617,200,0,False,False,True,True,True,True,True,True
pair_116,SetB,R2,10.0,0.40631517058832,0.40631517058832,200,0,False,False,True,True,True,True,True,True
