pair_id,set_type,gt_rank,sel_dist_to_gt,gt_dist_to_gt,sel_raw_ncc,gt_raw_ncc,sel_psr,gt_psr,sel_context,gt_context,sel_gradient,gt_gradient,sel_phase,gt_phase,sel_neighbor,gt_neighbor,sel_family,gt_family,sel_center,gt_center,sel_score,gt_score,sel_margin,gt_margin
pair_003,SetA,105,251.52470215620306,3.701555692844685,0.8460339307785034,0.8535321950912476,0.0,0.0,0.8197500738584438,0.8294940913805555,0.6184057593345642,0.6362956762313843,0.0875,0.125,0.6724808216094971,0.7134362906217575,129.0,68.0,70.71067811865476,179.25400971805345,0.21380722888656947,0.0014671849147112118,0.018453082767336454,3.080415159012126e-06
pair_004,SetA,26,60.79238590628019,0.5258449567686486,0.7319196462631226,0.6430841684341431,0.0,0.0,0.5866533089208956,0.6690806600003125,0.633313775062561,0.4348868131637573,0.05,0.1662132317597294,0.2574915736913681,0.21771815535612404,177.0,177.0,121.01652779682617,60.207972893961475,0.8336105827711408,0.0073734514711256,0.02952028091790515,0.0008542804635130255
pair_005,SetA,6,125.66766502545318,3.65055932236671,0.8512386083602905,0.8410013914108276,0.0,0.0,0.7191086540458718,0.6855690524368109,0.6281997561454773,0.606970489025116,0.05,0.09358541225631423,0.23582290671765804,0.23157100193202496,195.0,195.0,175.5348968154196,126.54840970948628,0.34089019374740187,0.07716594457460359,0.06409951313577461,0.0386170965731409
pair_006,SetA,37,155.46165828189794,3.307270867607608,0.6852137446403503,0.6777279376983643,0.0,0.0,0.32337885378085895,0.325899899294791,0.5155555605888367,0.46804335713386536,0.16249999999999998,0.0875,0.23776196874678135,0.27315850742161274,197.0,197.0,112.46555028096381,91.30443581776298,0.06920918471653013,0.005273884682665874,0.009737169889643758,0.00011284736835112923
pair_008,SetA,6,20.057897188375872,4.027664321459253,0.7597874402999878,0.7800099849700928,0.0,0.0,0.5515018145787647,0.48836629449521857,0.63691645860672,0.6676584482192993,0.05,0.125,0.4738098010420799,0.4888581410050392,194.0,194.0,75.22300180131074,88.61433292645158,0.9388054131701601,0.13998198661934003,0.2566125537933509,0.020415323499200264
pair_009,SetA,3,169.35732695063314,0.04769432197196644,0.8786338567733765,0.8905602693557739,0.0,0.0,0.7209718672776875,0.7795401104125691,0.6926372051239014,0.7085001468658447,0.05,0.05,0.28991132974624634,0.29329460859298706,101.0,99.0,102.83968105745953,94.17536832951598,0.6119737933136875,0.548759039847498,0.016276418552025218,0.005218806411233845
pair_016,SetA,3,76.37412098565409,0.36945569463634087,0.7391408681869507,0.7733441591262817,0.0,0.0,0.44362035204410954,0.5180051241042615,0.5848429799079895,0.6074184775352478,0.05,0.05,0.6836495101451874,0.7644206881523132,200.0,200.0,163.9161370945521,89.37840902589394,0.6840895735473947,0.5102907277764803,0.09079737424553602,0.10269441965373544
pair_017,SetA,3,184.84568650211244,3.548604804050561,0.8188899159431458,0.8140897750854492,0.0,0.0,0.7878681889602912,0.7746301585689561,0.63276207447052,0.62020343542099,0.05885254915624212,0.125,0.6471701264381409,0.6535965204238892,186.0,186.0,121.59358535712317,93.94147114027967,0.17542132919622783,0.14087361984878313,0.003086475054723925,0.041777495089542135
pair_020,SetA,81,217.54557031524078,0.4178639773444945,0.7756632566452026,0.7431933283805847,0.0,0.0,0.7528337375039273,0.7315664930835196,0.6603540182113647,0.6074777841567993,0.05,0.0875,0.499737948179245,0.4748665913939476,194.0,194.0,87.23531395025755,143.83671297690307,0.9158659012155893,0.002651967064782298,0.011357052813600887,0.00012797223373643262
pair_027,SetA,10,18.486148547552336,3.453110282304781,0.7931761145591736,0.8401697874069214,0.0,0.0,0.6909537663559415,0.7699091597924643,0.5865410566329956,0.6239326596260071,0.05,0.09358541225631423,0.4379664286971092,0.46075794845819473,188.0,188.0,119.50941385514365,130.024997596616,0.9791443522408148,0.7687792237512665,0.0052150087486010355,0.3399419805272353
pair_029,SetA,90,271.8240048917937,0.5532798236368335,0.8731295466423035,0.8581371903419495,0.0,0.0,0.7572924594269491,0.7841433192080847,0.7315549850463867,0.7025707364082336,0.05,0.05,0.4116832531290129,0.3862904745619744,100.0,70.0,174.86137366496925,118.58541225631423,0.2307156819339631,0.0008174535904783858,0.14630591721281672,3.1029767518395645e-05
pair_032,SetA,15,79.4359577207898,0.14218607947693748,0.7746817469596863,0.7897263169288635,0.0,0.0,0.6755132118668588,0.7286047599219534,0.6122509241104126,0.6461543440818787,0.05,0.125,0.49296243488788605,0.46141090989112854,179.0,179.0,93.62157870918435,31.38470965295043,0.7968851800355824,0.14110276192153468,0.06357294822325188,0.030203372240612786
pair_038,SetA,4,73.62219926947071,0.5109644716097187,0.7656154036521912,0.6934570670127869,0.0,0.0,0.795018129063375,0.7098933951446669,0.6658893823623657,0.5534417033195496,0.05,0.05,0.2702461751177907,0.2390995961613953,175.0,175.0,63.198101237299845,136.36715146984628,0.9029337444674467,0.765970598001102,0.06356050250536394,0.002733117764499693
pair_039,SetA,2,90.74095319755213,0.5414501565099585,0.7985926270484924,0.8616511225700378,0.0,0.0,0.6730287094029634,0.7571565288850979,0.5437473654747009,0.6177273988723755,0.05,0.05,0.579992264509201,0.5004840046167374,169.0,169.0,165.60495161679194,101.54801819828883,0.599606204965717,0.5137457925855724,0.08586041238014464,0.07301739326680451
pair_041,SetA,7,239.5904107311606,0.18464288854023617,0.7275109887123108,0.9148983359336853,0.0,0.0,0.542631369863722,0.8731976513358861,0.6541953086853027,0.7296680808067322,0.05,0.05,0.6197656542062759,0.622421458363533,200.0,200.0,83.72574275573791,217.18655575334307,0.8626685196266493,0.6461630715777509,0.030379596346588267,0.004241437358849964
pair_043,SetA,15,83.58952847245185,3.716040018613428,0.849589467048645,0.8552541136741638,0.0,0.0,0.6318128093440156,0.674033517925978,0.6546506285667419,0.6607091426849365,0.05,0.12961646096066226,0.8240905553102493,0.8076236844062805,200.0,200.0,86.96263565463043,76.25286879849178,0.19660792779520841,0.011388937888116808,0.05723158166323558,0.0011277503956551478
pair_044,SetA,10,219.23129061218017,3.924328798774754,0.7311452031135559,0.7011123895645142,0.0,0.0,0.6774643931730773,0.6387471698801019,0.5416879057884216,0.4921621084213257,0.05,0.16249999999999998,0.4367858022451401,0.3958878368139267,194.0,194.0,110.64357188738983,114.5294721894762,0.8940313079550573,0.032472230993611226,0.2742384358084794,7.412423252164263e-05
pair_045,SetA,5,254.5035440874049,0.549997988044771,0.8776254057884216,0.8551380634307861,0.0,0.0,0.7252564395157879,0.7350583775995402,0.7548002600669861,0.6749411225318909,0.05,0.05,0.44125840812921524,0.43799087032675743,183.0,183.0,160.31375486838303,144.07116297163705,0.9572085661474549,0.7317911873346966,0.08889191458753254,0.012577678909197698
pair_047,SetA,5,167.46590025829622,0.32999953408237004,0.8466270565986633,0.8536922335624695,0.0,0.0,0.7833447587900194,0.808609548117537,0.645444929599762,0.6484697461128235,0.05,0.05,0.6663677096366882,0.6740150600671768,195.0,195.0,167.0269439342048,11.0,0.9497106948720714,0.8692548427302765,0.006210962073628812,0.009778579293197476
pair_048,SetA,69,58.65504543333956,0.4842653789283294,0.7583829760551453,0.6868903636932373,0.0,0.0,0.6995032752132078,0.6304097398437256,0.5735567808151245,0.3801843523979187,0.05,0.125,0.5570639669895172,0.5023625046014786,192.0,192.0,163.24827717314508,136.01470508735443,0.884498584014869,0.004320907006869825,0.01869081978735021,7.757641670223976e-05
pair_050,SetA,62,35.761952442897076,4.548182405957123,0.8152586221694946,0.7669338583946228,0.0,0.0,0.6204604607602839,0.5992636761343173,0.6678078174591064,0.6200884580612183,0.05,0.2,0.6739057749509811,0.6425700411200523,200.0,200.0,91.82864476839457,125.86699329053666,0.881219654092566,0.006754215146739245,0.2659334510205402,0.0002111337101201342
pair_052,SetA,7,27.25144532828571,3.2547122928065284,0.76175856590271,0.763134241104126,0.0,0.0,0.5533236468656162,0.5915177637970228,0.6218326091766357,0.6185443997383118,0.05885254915624212,0.125,0.7619161605834961,0.759842723608017,200.0,200.0,114.49017425089369,92.19544457292888,0.6854843187247581,0.27655438580462477,0.01364384034957955,0.019385702930544535
pair_053,SetA,10,10.986331669230323,2.9242457685504495,0.8159113526344299,0.8445104956626892,0.0,0.0,0.7820674694670918,0.816257944317603,0.6213163137435913,0.7051840424537659,0.05,0.0875,0.6605606973171234,0.662306010723114,177.0,177.0,34.132096331752024,28.319604517012593,0.6946389192836268,0.11555308333042709,0.0970130047212151,0.0115257754961713
pair_057,SetA,3,199.30943708798682,0.31647427948354695,0.8632277250289917,0.8756587505340576,0.0,0.0,0.8194954599046164,0.8297083206717164,0.6425521373748779,0.6609126329421997,0.05,0.05,0.7049073874950409,0.7099875658750534,200.0,200.0,157.54364474646383,72.83543093852057,0.885206469386857,0.8578766278822444,0.017868567182466766,0.039072951606115014
pair_061,SetA,5,229.61084915966532,0.3515706681079973,0.8574707508087158,0.8517186045646667,0.0,0.0,0.7719914511304735,0.7631151808391918,0.743037223815918,0.7311306595802307,0.05,0.05,0.7270053327083588,0.7185496985912323,191.0,191.0,119.63277142990545,112.60550608207397,0.03466018566259621,0.019739876542170343,0.0016152119542168428,0.001900777981183245
