pair_id,present,est_scale,est_theta,mode_strong,cx,cy,peak_x,peak_y,corr_score,psr,context_32,context_64,context_128,context_combined,phase_penalty,dist_to_center,neigh_cons,grad_ncc,family,gterr,corr_score_rel,psr_rel,context_128_rel,context_combined_rel,phase_penalty_rel,dist_to_center_rel,neigh_cons_rel,grad_ncc_rel,family_ratio,v25,pool_size,pair_runtime,refined_x,refined_y,refined_gterr
v00000,1,11.599999999999998,-2.75,0,301.0,504.0,258,461,0.9585546851158142,0.0,0.9338126026984496,0.9600961345486632,0.9562905414206903,0.9533171909274314,0.0,199.04019694524018,0.0,0.8541409373283386,187,0.840013553340837,0.4116043150424957,0.0,0.4118314625631879,0.41141882105011607,-0.05,-20.82724518391919,0.0,0.5253021717071533,0.935,0.48787426782300897,200,5.156960964202881,300.8488237372297,503.9483623937078,0.6887022126343205
v00000,1,11.599999999999998,-2.75,0,624.0,520.0,581,477,0.6980311870574951,0.0,0.7978234073027309,0.8072049669009762,0.6904185217329752,0.7586140769141267,0.05,125.60254774486066,0.0,0.3861081302165985,187,324.10168215370726,0.15108081698417664,0.0,0.1459594428754729,0.21671570703681142,0.0,-94.26489438429871,0.0,0.05726936459541321,0.935,0.30512563488177225,200,5.156960964202881,624.5,520.1433613623565,324.6083502183033
v00000,1,11.599999999999998,-2.75,0,618.0,520.0,575,477,0.6194336414337158,0.0,0.7223793170150705,0.5989815257354852,0.6068275492121129,0.6267994933820533,0.05,119.68291440301745,0.0,0.23648785054683685,187,318.10960025847646,0.07248327136039734,0.0,0.06236847035461057,0.084901123504738,0.0,-100.18452772614192,0.0,-0.09235091507434845,0.935,0.08985132208472332,200,5.156960964202881,623.0,520.0,323.10298142927564
v00000,1,11.599999999999998,-2.75,0,301.0,498.0,258,455,0.622367262840271,0.0,0.40823303066292693,0.6240565471529028,0.608374787978786,0.574619140185261,0.16249999999999998,199.01004999748127,0.0,0.22567927837371826,187,5.551467644478428,0.07541689276695251,0.0,0.06391570912128364,0.032720770307945624,0.11249999999999998,-20.857392131678097,0.0,-0.10315948724746704,0.935,0.0036790407366134163,200,5.156960964202881,301.0,503.0,0.8511665384118785
v00000,1,11.599999999999998,-2.75,0,480.0,513.0,437,470,0.5872944593429565,0.0,0.49674926583213413,0.5721515545220037,0.5738199271165113,0.5577384458218329,0.05,23.853720883753127,0.0,0.474380224943161,187,179.93234853323898,0.04034408926963806,0.0,0.029360848259008976,0.01584007594451753,0.0,-196.01372124540626,0.0,0.1455414593219757,0.935,0.14533579872864588,200,5.156960964202881,480.292835735848,512.9536812280253,180.22234411090966
v00000,1,11.599999999999998,-2.75,0,458.0,512.0,415,469,0.5862206220626831,0.0,0.5013559270853244,0.5702793241826223,0.5746138539314405,0.55822845666269,0.05,43.68065933568311,0.0,0.47195684909820557,187,157.9103101451105,0.039270251989364624,0.0,0.030154775073938156,0.01633008678537473,0.0,-176.18678279347625,0.0,0.14311808347702026,0.935,0.13506550473840218,200,5.156960964202881,458.04356094040594,511.8683987025618,157.9467887264058
v00000,1,11.599999999999998,-2.75,0,380.0,508.0,337,465,0.5951976180076599,0.0,0.5068190201205199,0.575767677140293,0.58146071213551,0.5642551597344252,0.05,120.26637102698326,0.0,0.47765058279037476,187,79.80831861175443,0.04824724793434143,0.0,0.03700163327800765,0.02235678985710987,0.0,-99.6010711021761,0.0,0.14881181716918945,0.935,0.19958083593423126,200,5.156960964202881,379.9529227091772,507.98898600800584,79.76069661589648
v00000,1,11.599999999999998,-2.75,0,436.0,511.0,393,468,0.587113618850708,0.0,0.5039810036179823,0.5724384673220331,0.5751179443035273,0.5598187653738207,0.05,64.93843238021688,0.0,0.4598149061203003,187,135.88849124029227,0.040163248777389526,0.0,0.03065886544602492,0.01792039549650537,0.0,-154.9290097489425,0.0,0.130976140499115,0.935,0.18108489987263715,200,5.156960964202881,435.7616572821322,510.7614958378468,135.63755048512127
v00000,1,11.599999999999998,-2.75,0,402.0,509.0,359,466,0.5909398198127747,0.0,0.5030761610219511,0.5705569641967426,0.5774727480756234,0.5598271171133367,0.05,98.41239759298622,0.0,0.47546276450157166,187,101.83001383775468,0.04398944973945618,0.0,0.0330136692181211,0.017928747236021336,0.0,-121.45504453617315,0.0,0.14662399888038635,0.935,0.14453420573207754,200,5.156960964202881,402.2284188509369,509.09100307835405,102.0630374335164
v00000,1,11.599999999999998,-2.75,0,391.0,509.0,348,466,0.5918212532997131,0.0,0.5061943737947204,0.5730057567744731,0.5787278938605463,0.5619323350129519,0.05,109.37092849564732,0.0,0.4873373508453369,187,90.84795147972876,0.04487088322639465,0.0,0.03426881500304402,0.0200339651356366,0.0,-110.49651363351205,0.0,0.1584985852241516,0.935,0.20047980843250404,200,5.156960964202881,391.07326080826704,508.58866715154505,90.89716608972375
v00000,1,11.599999999999998,-2.75,0,413.0,510.0,370,467,0.587615966796875,0.0,0.501369427575763,0.5656070172219888,0.5738482589485975,0.5560559959833871,0.05,87.5728268357257,0.0,0.46800485253334045,187,112.86865945259186,0.04066559672355652,0.0,0.029389180091095146,0.014157626106071741,0.0,-132.29461529343365,0.0,0.13916608691215515,0.935,0.3990017858322296,200,5.156960964202881,413.3634229844577,509.6776706080946,113.21346399293753
v00000,1,11.599999999999998,-2.75,0,424.0,510.0,381,467,0.5852000117301941,0.0,0.49931240784451614,0.5674995585141407,0.5705453141490129,0.5550804306341647,0.05,76.6550715869472,0.0,0.4650499224662781,187,123.85207191145133,0.03824964165687561,0.0,0.02608623529151055,0.013182060756849356,0.0,-143.21237054221217,0.0,0.13621115684509277,0.935,0.2687429838267025,200,5.156960964202881,424.5,510.17859787292605,124.36083748847486
v00000,1,11.599999999999998,-2.75,0,447.0,511.0,404,468,0.5827319025993347,0.0,0.5013159354951504,0.5718360154698531,0.5692542463975466,0.55669929184599,0.05,54.12947441089743,0.0,0.4354986548423767,187,146.87301822219473,0.035781532526016235,0.0,0.024795167540044294,0.014800921968674663,0.0,-165.73796771826193,0.0,0.1066598892211914,0.935,0.151016297393935,200,5.156960964202881,446.9016618106462,511.2633793005655,146.78848517806378
v00000,1,11.599999999999998,-2.75,0,536.0,516.0,493,473,0.5810468792915344,0.0,0.4936284473435041,0.5656250142461813,0.5704805099473456,0.5531678991461115,0.05,39.395431207184416,0.0,0.46851393580436707,187,236.01263606132335,0.03409650921821594,0.0,0.026021431089843228,0.011269529268796208,0.0,-180.47201092197497,0.0,0.13967517018318176,0.935,0.22091787435273244,200,5.156960964202881,536.0823166556884,515.7741753053317,236.08299787229976
v00000,1,11.599999999999998,-2.75,0,245.0,501.0,202,458,0.6271953582763672,0.0,0.5119815248567436,0.6413242562308905,0.6227196986176011,0.6080138869107454,0.05,255.0019607767752,0.0,0.5230147242546082,187,55.37500601211813,0.0802449882030487,0.0,0.07826061976009879,0.0661155170334301,0.0,35.134518647615835,0.0,0.19417595863342285,0.935,0.0012072673827001714,200,5.156960964202881,244.6025793004871,501.0467382521296,55.76993791509265
v00000,1,11.599999999999998,-2.75,0,305.0,425.0,262,382,0.6110715866088867,0.0,0.5966576190882464,0.6040553330757857,0.6106381010824433,0.605208897480941,0.05,208.92582415776178,0.0,0.4742262661457062,187,78.64890821284216,0.06412121653556824,0.0,0.06617902222494099,0.06331052760362565,0.0,-10.94161797139759,0.0,0.14538750052452087,0.935,0.00729788425900859,200,5.156960964202881,304.8062597872328,425.34289809067104,78.29527617598848
v00000,1,11.599999999999998,-2.75,0,469.0,512.0,426,469,0.5795523524284363,0.0,0.49235474062153034,0.5639537167437224,0.566969846844026,0.5508403735594054,0.05,33.24154027718932,0.0,0.44048094749450684,187,168.89543356840394,0.0326019823551178,0.0,0.022510767986523628,0.008942003682090083,0.0,-186.62590185197004,0.0,0.11164218187332153,0.935,0.28097350134747756,200,5.156960964202881,469.17844215910384,512.3675971554693,169.09250896045305
v00000,1,11.599999999999998,-2.75,0,514.0,515.0,471,472,0.5778287649154663,0.0,0.502859627248242,0.5691864181468637,0.5668721837878988,0.5549953662235534,0.05,20.518284528683193,0.0,0.45293301343917847,187,213.99060816319175,0.030878394842147827,0.0,0.0224131049303965,0.013096996346238066,0.0,-199.3491576004762,0.0,0.12409424781799316,0.935,0.23593558545756782,200,5.156960964202881,513.8044653214213,514.665331140742,213.77763005299892
