hypotheses,top20,top50,top100,latency_ms
1,40.714285714285715,49.28571428571429,55.00000000000001,914.7077442857283
2,39.285714285714285,50.0,55.00000000000001,1516.6890921428733
3,36.42857142857142,44.285714285714285,51.42857142857142,2150.1971150000045
4,18.571428571428573,25.71428571428571,32.142857142857146,2597.4663821428426
5,6.428571428571428,12.857142857142856,15.0,3383.750834285716
7,2.142857142857143,5.714285714285714,7.857142857142857,4780.782820000032
