pair_id,set_type,gt_x,gt_y,gt_dist_center,nearest_v25_dist_to_gt,gt_local_ncc,gt_psr,gt_context32,gt_context64,gt_context128,gt_context_combined,gt_gradient_ncc,gt_phase_score,gt_neigh_score,pitch_x,pitch_y,best_v25_x,best_v25_y,best_v25_score,best_v25_dist_to_center
pair_102,SetB,558.7407932360767,654.2146527026613,165.02314958273567,5.221090973717679,0.5346741080284119,2.31854510307312,0.4571858898715651,0.5451478554058353,0.5471145445256128,0.5283421379468923,0.3332933485507965,0.05,0.4451802223920822,0,11,576.0,413.0,0.560461163520813,115.52056094046635
pair_108,SetB,419.0241100659799,415.0396710952816,117.36844651866386,75.5411701022206,0.1538989245891571,1.2007859945297241,0.16842834305084423,0.2261822495311494,0.20780752542721312,0.20728157859351387,0.019589141011238098,0.05,0.10817321669310331,18,19,377.5,539.5,0.2712631821632385,128.71091639794972
pair_036,SetA,369.9263348959626,591.9291431014253,159.2800229311875,6.451639930569365,0.5828651785850525,1.7219743728637695,0.7211160834849031,0.4293548406632309,0.7360847413068968,0.6103990494850318,0.26547616720199585,0.09358541225631423,0.07194999605417252,49,22,425.5,588.5,0.7491812705993652,115.68275584545866
pair_024,SetA,366.6139153673995,627.9868842791703,184.85802693176458,5.02796087633543,0.7227766513824463,1.9368629455566406,0.3675983754885304,0.4076386109636482,0.4036484797279524,0.3980345113743463,0.45221835374832153,0.125,0.07941658422350883,31,15,610.0,473.0,0.7902447581291199,113.26517558367179
pair_075,SetB,421.1876306684851,523.554354323216,82.25689738393197,13.834574432153198,0.664012610912323,1.5555397272109985,0.6880996127949155,0.5858282936262332,0.5450270416001242,0.5899620566495261,0.43213894963264465,0.05,0.6191163808107376,154,37,449.0,499.0,0.6901665329933167,51.0098029794274
pair_104,SetB,460.7330676441381,384.13561333368057,122.33743529354462,11.916589226906842,0.30575066804885864,1.6504838466644287,0.27765357981712196,0.3042348445820414,0.19895348240383387,0.2568060467577745,0.15698795020580292,0.05885254915624212,0.2101009115576744,11,14,488.0,529.0,0.3564460873603821,31.38470965295043
pair_040,SetA,630.593738588206,591.0880887782025,159.22237429366004,5.187067207266766,0.6455408930778503,1.792724370956421,0.24222364917114644,0.6195408317666543,0.6052540382744508,0.5383626778506714,0.4620857834815979,0.18713203435596426,-0.0005034245550632477,32,17,435.0,473.0,0.7318063974380493,70.3846574190711
pair_046,SetA,443.0353460101062,368.1839792604088,143.5981724389578,9.008886069376043,0.5651557445526123,1.5631530284881592,0.5788218407418243,0.7014316432966491,0.5369742305031933,0.6111267176683018,0.20907127857208252,0.16249999999999998,0.41930537298321724,13,47,466.5,538.5,0.7451354265213013,51.034302189801714
pair_058,SetA,409.69162392649287,578.3278051888444,119.54433426447093,6.175168703449354,0.7889804840087891,2.1276352405548096,0.7408945599500343,0.5629838249649378,0.5425654362481148,0.590398616475228,0.5356793999671936,0.05,0.3894809912890196,192,12,459.5,507.5,0.7952147722244263,41.188590653237945
pair_121,SetB,627.6125774937187,393.331013610427,166.32270618279776,7.619770738556436,0.743054986000061,1.537649393081665,0.6945491577259183,0.6742892646631637,0.6588557669838765,0.6721678442039998,0.5911673307418823,0.05,0.16349926590919495,138,11,486.0,511.0,0.7506797313690186,17.804493814764857
pair_138,SetB,523.1453003858609,492.7075582359928,24.26694535439449,85.3735181054247,0.3926240801811218,1.8757619857788086,0.19863252183218646,0.3761002506696464,0.3815675454393536,0.34279362281003734,0.21035028994083405,0.19366069605669878,0.25091077014803886,25,19,608.5,494.5,0.41780146956443787,108.63931148529983
pair_002,SetA,506.9538393948501,470.58932107692567,30.221580320121213,10.209352768833655,0.6126058101654053,1.793034315109253,0.6342306209096252,0.6274485155882319,0.12959323255233932,0.42966282343815354,0.45724108815193176,0.1662132317597294,0.17628620972391218,34,33,513.5,458.5,0.697500467300415,43.64057744805859
pair_031,SetA,515.2050624964362,524.1079983471228,28.50244743570992,54.459225177339974,0.814950168132782,1.6918052434921265,0.8031065418028427,0.7861878971055244,0.7402012780833147,0.7711769784361042,0.666957437992096,0.05,0.772075966000557,11,11,501.5,600.5,0.8303773403167725,100.51119340650573
pair_091,SetB,379.7392538864404,530.2769969644571,124.01348152912968,12.033852604461815,0.7449142336845398,1.5671714544296265,0.7122714069258634,0.6882618145997997,0.6925709991448751,0.6947874068830426,0.5555501580238342,0.05,0.6347665265202522,16,11,495.0,527.0,0.7537572383880615,27.459060435491963
pair_034,SetA,600.6392691360397,427.2759208637932,124.16543069004959,6.783020109220472,0.7048328518867493,1.9994728565216064,0.5378248108220183,0.4773346574284548,0.47549130486592767,0.4886953470821567,0.3886704444885254,0.2,0.01536203979048878,45,27,539.0,421.0,0.772983968257904,88.10221336606703
pair_060,SetA,560.1155584056785,517.980210360295,62.74685910089047,7.822377698531767,0.5266236066818237,1.4924968481063843,0.5150908611960073,0.7242188204526682,0.49166395695688175,0.5893712832030215,0.14623525738716125,0.09358541225631423,0.3704928904771805,16,17,528.5,499.5,0.7229735255241394,28.50438562747845
pair_110,SetB,422.7339868744404,608.8382082352778,133.4758118768522,6.243154423935463,0.42219552397727966,1.7196040153503418,0.4348412242487181,0.440574585404484,0.1237652504696683,0.3127041791994046,0.24190405011177063,0.05,0.03072240576148033,55,53,622.5,579.5,0.49427735805511475,146.03595447697117
pair_056,SetA,503.63453564902574,449.4331566071532,50.69729282812578,10.439555593090033,0.677405834197998,1.8544024229049683,0.674415288538374,0.4927824613149373,0.6729649001846478,0.601182002307509,0.308815062046051,0.12961646096066226,0.11183016840368509,186,74,535.0,456.0,0.8280072212219238,56.22277118748239
pair_000,SetA,571.9958979375593,398.53034370617024,124.41664064032354,5.469657832035542,0.7840385437011719,2.504990577697754,0.6032800552573476,0.5350941484315802,0.5026823131800925,0.5357665956961386,0.6226277947425842,0.16249999999999998,0.7650319635868073,0,11,572.0,404.0,0.8382015824317932,120.0
pair_127,SetB,453.00874129807096,539.592610087729,61.447157525393806,6.020495623245533,0.6597445011138916,1.6510387659072876,0.7352233359721068,0.5996433262472782,0.5410248467852484,0.6033119364074321,0.38543108105659485,0.05,0.4074278362095356,22,13,494.0,536.0,0.6825279593467712,36.49657518178932
pair_018,SetA,633.8302029584735,529.3771388419595,137.01656655472715,7.670781024274127,0.7813079357147217,2.044276475906372,0.7251804243205486,0.6190428979253462,0.5841733949031341,0.6263226019955019,0.5526363849639893,0.17694368026754387,0.7272716611623764,47,21,457.5,535.5,0.8275638818740845,55.37598757584374
pair_094,SetB,449.5703586355875,474.1917687819448,56.64992080089663,6.916524641756361,0.430266410112381,1.921176791191101,0.4048020725546173,0.30358642664099483,0.2979100699938544,0.3215590131648632,0.1842712163925171,0.14270509831248424,0.3616460785269737,25,11,455.5,551.5,0.46498051285743713,68.06247130394253
pair_085,SetB,493.2118378807493,528.2201001132426,29.0250442783239,12.625112564643318,0.764188289642334,1.5987718105316162,0.6734400157999446,0.6975465346490839,0.6882184263411234,0.6889939875560719,0.5204470157623291,0.05,0.2896714871749282,149,45,530.0,529.0,0.7764560580253601,41.72529209005013
pair_119,SetB,567.9409966845091,458.0488132422573,79.84911459037899,13.281400972682034,0.6970519423484802,1.532541275024414,0.70146625583449,0.6916601893589314,0.6682260933267007,0.6842477642411509,0.5484505891799927,0.05,0.6003369390964508,12,12,581.5,519.5,0.7449039816856384,83.80035799446205
pair_086,SetB,457.2317665936316,402.1450954048615,106.79280941161379,39.95978984679365,0.1450350135564804,1.6459870338439941,0.08957428831655458,0.103463511145294,0.13960980228849898,0.11514418303682811,0.052521053701639175,0.16249999999999998,0.06420124252326787,12,12,526.0,429.0,0.1789853721857071,75.61084578286372
pair_134,SetB,435.90866511952,554.1240882561762,83.88752074250485,47.2550150497943,0.479747474193573,1.669477105140686,0.5657939403523151,0.4065124092340936,0.566873589075609,0.5025131873943441,0.1663423478603363,0.12961646096066226,0.2859411183744669,13,13,489.5,535.5,0.5887163281440735,37.02026472082554
pair_120,SetB,406.69402532252985,536.5093041663631,100.19448189009572,7.322434594380725,0.293479859828949,1.5040816068649292,0.3072500669770109,0.2874421560543218,0.12164142688232202,0.22508344657005971,0.09483449161052704,0.17694368026754387,0.18839609622955322,15,10,396.0,531.0,0.35156211256980896,108.52188719332152
pair_042,SetA,668.4494920156358,568.0786817680777,181.6863733789767,5.42155350690722,0.7866575717926025,2.520831346511841,0.7760556715030895,0.7651986947960235,0.7579392302796906,0.7644663043309036,0.6429522633552551,0.05,0.5995690524578094,0,16,399.5,555.5,0.8139994740486145,114.80635870891473
pair_118,SetB,665.9286433650714,383.7105126474083,202.62171541496147,7.260097344732675,0.1239866092801094,0.5659239888191223,0.2144214179854149,0.16318818517280123,0.11093209953685772,0.15253239748094655,0.105003222823143,0.11020817282989959,0.08925611898303032,19,12,558.5,375.5,0.19903963804244995,137.5590782173245
pair_014,SetA,553.5988731132766,605.6026301285106,118.42615711519194,5.68231902238409,0.6016291379928589,1.8517608642578125,0.6111710860266659,0.5585747465000365,0.10984625395675247,0.3896026173880488,0.34130561351776123,0.05,0.3680011685937643,10,198,603.0,607.0,0.7607360482215881,148.51935900750448
pair_068,SetA,378.9976793534375,546.376157512448,129.58514416194828,5.510535441834709,0.6832570433616638,1.9066523313522339,0.6453312545721592,0.6619118384789423,0.5812928239661027,0.6263481158924499,0.4149211347103119,0.16249999999999998,0.07198887690901756,17,18,532.0,543.0,0.7493196129798889,53.600373133029585
pair_076,SetB,371.649968341773,387.4210639684029,170.7271140290092,5.546937778976221,0.19626069068908691,1.4637953042984009,0.15343725384604007,0.16855227747714172,0.17710026827421693,0.16894846906975147,0.0399322509765625,0.1662132317597294,0.1845598854124546,10,22,346.0,423.0,0.2513464391231537,172.1772342674838
pair_112,SetB,448.691706059214,483.9684783690704,53.754541323659886,7.8223350892174,0.5714840888977051,1.8448539972305298,0.5969664315881845,0.34364423103206465,0.3111445805363887,0.3813088109450183,0.2751036584377289,0.16249999999999998,0.12392443232238293,39,21,488.5,497.5,0.6435006260871887,11.76860229593982
pair_124,SetB,654.7514722101861,534.3109309569012,158.50948909875785,11.80782555450069,0.561385452747345,2.0128777027130127,0.5215122617582236,0.4138053108998421,0.4049117298827956,0.4317892686646998,0.2925459146499634,0.18713203435596426,0.26003367081284523,33,72,417.5,470.5,0.5890721082687378,87.6156378736125
pair_030,SetA,436.1278420959197,611.0108527600154,128.0744392368344,5.88854704993119,0.7644966840744019,1.9827498197555542,0.7423423157858955,0.7458330286835505,0.6158830366706847,0.6931548892988733,0.582772433757782,0.0875,0.38383670151233673,11,14,604.0,532.0,0.7814427018165588,108.81176406988355
