pair_id,set_type,gt_raw_rank,local_peak_exists,gt_dist_center,min_dist_to_gt,gt_local_ncc,taxonomy_category
pair_102,SetB,-1,True,165.02314958273567,5.221090973717679,0.5346741080284119,NMS_SUPPRESSION
pair_108,SetB,-1,True,117.36844651866386,75.5411701022206,0.1538989245891571,DEGRADATION
pair_036,SetA,1232,True,159.2800229311875,6.451639930569365,0.5828651785850525,LOW_SIGNAL
pair_024,SetA,-1,True,184.85802693176458,5.02796087633543,0.7227766513824463,NMS_SUPPRESSION
pair_075,SetB,1105,True,82.25689738393197,13.834574432153198,0.664012610912323,LOW_SIGNAL
pair_104,SetB,1048,True,122.33743529354462,11.916589226906842,0.30575066804885864,LOW_SIGNAL
pair_040,SetA,-1,True,159.22237429366004,5.187067207266766,0.6455408930778503,NMS_SUPPRESSION
pair_046,SetA,1346,True,143.5981724389578,9.008886069376043,0.5651557445526123,LOW_SIGNAL
pair_058,SetA,614,True,119.54433426447093,6.175168703449354,0.7889804840087891,SPATIAL
pair_121,SetB,675,True,166.32270618279776,7.619770738556436,0.743054986000061,SPATIAL
pair_138,SetB,694,True,24.26694535439449,85.3735181054247,0.3926240801811218,PERIODIC
pair_002,SetA,1311,True,30.221580320121213,10.209352768833655,0.6126058101654053,LOW_SIGNAL
pair_031,SetA,706,True,28.50244743570992,54.459225177339974,0.814950168132782,PERIODIC
pair_091,SetB,770,True,124.01348152912968,12.033852604461815,0.7449142336845398,SPATIAL
pair_034,SetA,-1,True,124.16543069004959,6.783020109220472,0.7048328518867493,NMS_SUPPRESSION
pair_060,SetA,-1,True,62.74685910089047,7.822377698531767,0.5266236066818237,NMS_SUPPRESSION
pair_110,SetB,2030,True,133.4758118768522,6.243154423935463,0.42219552397727966,LOW_SIGNAL
pair_056,SetA,2649,True,50.69729282812578,10.439555593090033,0.677405834197998,LOW_SIGNAL
pair_000,SetA,-1,True,124.41664064032354,5.469657832035542,0.7840385437011719,NMS_SUPPRESSION
pair_127,SetB,747,True,61.447157525393806,6.020495623245533,0.6597445011138916,SPATIAL
pair_018,SetA,764,True,137.01656655472715,7.670781024274127,0.7813079357147217,SPATIAL
pair_094,SetB,-1,True,56.64992080089663,6.916524641756361,0.430266410112381,NMS_SUPPRESSION
pair_085,SetB,769,True,29.0250442783239,12.625112564643318,0.764188289642334,SPATIAL
pair_119,SetB,1974,True,79.84911459037899,13.281400972682034,0.6970519423484802,LOW_SIGNAL
pair_086,SetB,1537,False,106.79280941161379,39.95978984679365,0.1450350135564804,DEGRADATION
pair_134,SetB,854,True,83.88752074250485,47.2550150497943,0.479747474193573,SPATIAL
pair_120,SetB,2062,True,100.19448189009572,7.322434594380725,0.293479859828949,LOW_SIGNAL
pair_042,SetA,-1,True,181.6863733789767,5.42155350690722,0.7866575717926025,NMS_SUPPRESSION
pair_118,SetB,765,False,202.62171541496147,7.260097344732675,0.1239866092801094,DEGRADATION
pair_014,SetA,-1,True,118.42615711519194,5.68231902238409,0.6016291379928589,NMS_SUPPRESSION
pair_068,SetA,2379,True,129.58514416194828,5.510535441834709,0.6832570433616638,LOW_SIGNAL
pair_076,SetB,-1,True,170.7271140290092,5.546937778976221,0.19626069068908691,DEGRADATION
pair_112,SetB,1487,True,53.754541323659886,7.8223350892174,0.5714840888977051,LOW_SIGNAL
pair_124,SetB,895,True,158.50948909875785,11.80782555450069,0.561385452747345,SPATIAL
pair_030,SetA,-1,True,128.0744392368344,5.88854704993119,0.7644966840744019,NMS_SUPPRESSION
