K,theta_corr,theta_ctx,theta_neigh,theta_sharp,rescued,broken,net_gain,rescue_pids,broken_pids
40,0.02,0.02,0.02,0.02,0,11,-11,[],"['pair_010', 'pair_012', 'pair_019', 'pair_025', 'pair_063', 'pair_064', 'pair_067', 'pair_087', 'pair_092', 'pair_109', 'pair_139']"
40,0.02,0.035,0.01,0.02,0,11,-11,[],"['pair_010', 'pair_012', 'pair_019', 'pair_022', 'pair_025', 'pair_063', 'pair_064', 'pair_067', 'pair_087', 'pair_090', 'pair_139']"
40,0.02,0.035,0.01,0.04,0,11,-11,[],"['pair_010', 'pair_012', 'pair_019', 'pair_022', 'pair_025', 'pair_063', 'pair_064', 'pair_067', 'pair_087', 'pair_090', 'pair_139']"
40,0.035,0.02,0.035,0.02,0,11,-11,[],"['pair_010', 'pair_012', 'pair_019', 'pair_026', 'pair_063', 'pair_064', 'pair_067', 'pair_087', 'pair_092', 'pair_105', 'pair_139']"
40,0.035,0.035,0.02,0.02,0,11,-11,[],"['pair_010', 'pair_012', 'pair_019', 'pair_025', 'pair_026', 'pair_063', 'pair_064', 'pair_067', 'pair_087', 'pair_105', 'pair_139']"
40,0.035,0.035,0.02,0.04,0,11,-11,[],"['pair_010', 'pair_012', 'pair_019', 'pair_025', 'pair_026', 'pair_063', 'pair_064', 'pair_067', 'pair_087', 'pair_105', 'pair_139']"
40,0.05,0.02,0.035,0.04,0,11,-11,[],"['pair_010', 'pair_012', 'pair_019', 'pair_026', 'pair_054', 'pair_063', 'pair_064', 'pair_067', 'pair_087', 'pair_105', 'pair_139']"
40,0.05,0.035,0.035,0.02,0,11,-11,[],"['pair_010', 'pair_012', 'pair_019', 'pair_026', 'pair_054', 'pair_063', 'pair_064', 'pair_067', 'pair_087', 'pair_105', 'pair_139']"
40,0.05,0.035,0.035,0.04,0,11,-11,[],"['pair_010', 'pair_012', 'pair_019', 'pair_026', 'pair_054', 'pair_063', 'pair_064', 'pair_067', 'pair_087', 'pair_105', 'pair_139']"
50,0.02,0.01,0.035,0.02,0,11,-11,[],"['pair_007', 'pair_010', 'pair_012', 'pair_019', 'pair_063', 'pair_064', 'pair_067', 'pair_087', 'pair_092', 'pair_131', 'pair_139']"
50,0.02,0.01,0.035,0.04,0,11,-11,[],"['pair_007', 'pair_010', 'pair_012', 'pair_019', 'pair_063', 'pair_064', 'pair_067', 'pair_087', 'pair_092', 'pair_131', 'pair_139']"
50,0.02,0.02,0.02,0.02,0,11,-11,[],"['pair_010', 'pair_012', 'pair_019', 'pair_025', 'pair_063', 'pair_064', 'pair_067', 'pair_087', 'pair_092', 'pair_109', 'pair_139']"
