pair_id,set_type,gt_found,pred_found,loc_err,scale_err,theta_err,score,failure_mode
pair_000,SetA,1,0,-1.0,8.906189684526892,0.9442014439113252,0.0,PRESENCE_FALSE_NEGATIVE
pair_001,SetA,1,1,0.10970668733858964,0.061220457344363766,0.08919014541747183,0.9817030632108886,SUBPIXEL_SUCCESS
pair_002,SetA,1,0,-1.0,11.693066826665689,1.96306686038372,0.0,PRESENCE_FALSE_NEGATIVE
pair_003,SetA,1,0,-1.0,8.839181877687723,1.9612051475025936,0.0,PRESENCE_FALSE_NEGATIVE
pair_004,SetA,1,0,-1.0,11.883563444564494,3.166196187846392,0.0,PRESENCE_FALSE_NEGATIVE
pair_005,SetA,1,1,3.6202116250038117,0.07470248526582246,0.00393464411193678,0.8924644967162304,IN_BOUNDS_SUCCESS
pair_006,SetA,1,0,-1.0,11.548438869676003,1.233058771464365,0.0,PRESENCE_FALSE_NEGATIVE
pair_007,SetA,1,1,0.9662952277254764,0.027641544183095945,0.021708103013299507,0.9680991577203256,SUBPIXEL_SUCCESS
pair_008,SetA,1,1,0.15365701744186908,0.08480039901534475,0.023108580077121577,0.9528043794685642,SUBPIXEL_SUCCESS
pair_009,SetA,1,1,0.14580267736498306,0.05930754628743529,0.007254470747597885,0.8954689218212184,SUBPIXEL_SUCCESS
pair_010,SetA,1,1,3.9175990345061105,0.06919413625178983,0.13936389521807513,0.9327902540876342,IN_BOUNDS_SUCCESS
pair_011,SetA,1,1,0.20743744477959217,0.03031500142083665,0.03934074730958792,0.9498083906267392,SUBPIXEL_SUCCESS
pair_012,SetA,1,1,0.10777078900323857,0.03516009698428135,0.04005444205362485,0.8860743006261235,SUBPIXEL_SUCCESS
pair_013,SetA,1,1,0.29426633570103955,0.11164656207016144,0.028929556695903358,0.980924298829178,SUBPIXEL_SUCCESS
pair_014,SetA,1,0,-1.0,10.912291628466969,1.558736066139066,0.0,PRESENCE_FALSE_NEGATIVE
pair_015,SetA,1,1,0.4168750581832808,0.036515229888554046,0.014970964816344967,0.968374854937827,SUBPIXEL_SUCCESS
pair_016,SetA,1,1,4.632119666640049,0.017538174930873396,0.03325134761942328,0.9464424647042812,IN_BOUNDS_SUCCESS
pair_017,SetA,1,0,-1.0,8.97877119378156,4.067509923316584,0.0,PRESENCE_FALSE_NEGATIVE
pair_018,SetA,1,0,-1.0,9.186375492262773,0.2863939901769177,0.0,PRESENCE_FALSE_NEGATIVE
pair_019,SetA,1,1,0.31963879644186244,0.029124420913012372,0.013031107598837188,0.9565068839081708,SUBPIXEL_SUCCESS
pair_020,SetA,1,0,-1.0,9.27796825375544,2.0226480356539795,0.0,PRESENCE_FALSE_NEGATIVE
pair_021,SetA,1,1,0.10663836834380212,0.05838793038938661,0.20095861954035743,0.984021898929657,SUBPIXEL_SUCCESS
pair_022,SetA,1,1,3.330817238337581,0.014283850352390104,0.014638199582232225,0.9689065783944268,IN_BOUNDS_SUCCESS
pair_023,SetA,1,1,0.24387599148889938,0.03147331738255765,0.059377485861118906,0.9854195264550428,SUBPIXEL_SUCCESS
pair_024,SetA,1,0,-1.0,9.3812787187611,3.869408942649408,0.0,PRESENCE_FALSE_NEGATIVE
pair_025,SetA,1,1,0.6905945565202054,0.010458393694147361,0.03148329377026826,0.9352940188352316,SUBPIXEL_SUCCESS
pair_026,SetA,1,1,0.05385304432715639,0.12436963059209916,0.03588173983124854,0.9258913957863631,SUBPIXEL_SUCCESS
pair_027,SetA,1,0,-1.0,10.122298773883395,4.66048258530244,0.0,PRESENCE_FALSE_NEGATIVE
pair_028,SetA,1,1,0.1474322445217545,0.01136646319418233,0.06789753976567237,0.9654529949683556,SUBPIXEL_SUCCESS
pair_029,SetA,1,0,-1.0,11.11090566392888,2.3827737948296948,0.0,PRESENCE_FALSE_NEGATIVE
pair_030,SetA,1,0,-1.0,10.172257531768713,4.324207155868935,0.0,PRESENCE_FALSE_NEGATIVE
pair_031,SetA,1,0,-1.0,11.700371578194344,0.020471544724149,0.0,PRESENCE_FALSE_NEGATIVE
pair_032,SetA,1,1,0.08202203088356201,0.07007289157984253,0.019952589708113422,0.934981552364732,SUBPIXEL_SUCCESS
pair_033,SetA,1,1,0.043478513370077285,0.007002127356845023,0.026119277170028043,0.9788638178039408,SUBPIXEL_SUCCESS
pair_034,SetA,1,0,-1.0,8.854218054076412,4.316875712055294,0.0,PRESENCE_FALSE_NEGATIVE
pair_035,SetA,1,1,0.6743855699041549,0.05268662567579163,0.01555153013410493,0.9729462468882908,SUBPIXEL_SUCCESS
pair_036,SetA,1,0,-1.0,11.018218160766835,3.480580895971622,0.0,PRESENCE_FALSE_NEGATIVE
pair_037,SetA,1,1,0.3444872463045183,0.08284778512676638,0.0004765105290536198,0.9626924170679708,SUBPIXEL_SUCCESS
pair_038,SetA,1,0,-1.0,9.3118251640608,3.653932826138152,0.0,PRESENCE_FALSE_NEGATIVE
pair_039,SetA,1,1,0.5109681895533318,0.009380554331208657,0.01033256018001083,0.9498544686748812,SUBPIXEL_SUCCESS
