threshold,weighted_loc,loc_points,f1_rej,rej_points,false_rejects,false_accepts,rho,cal_points,total
0.55,56.21428571428572,22.48571428571429,0.0,0.0,0,40,0.8507123349199907,8.507123349199906,63.9928376349142
0.551,56.21428571428572,22.48571428571429,0.0,0.0,0,40,0.8507123349199907,8.507123349199906,63.9928376349142
0.552,56.21428571428572,22.48571428571429,0.0,0.0,0,40,0.8507123349199907,8.507123349199906,63.9928376349142
0.553,56.21428571428572,22.48571428571429,0.0,0.0,0,40,0.8507123349199907,8.507123349199906,63.9928376349142
0.554,56.21428571428572,22.48571428571429,0.0,0.0,0,40,0.8507123349199907,8.507123349199906,63.9928376349142
0.555,56.21428571428572,22.48571428571429,0.0,0.0,0,40,0.8507123349199907,8.507123349199906,63.9928376349142
0.556,56.21428571428572,22.48571428571429,0.0,0.0,0,40,0.8507123349199907,8.507123349199906,63.9928376349142
0.557,56.21428571428572,22.48571428571429,0.0,0.0,0,40,0.8507123349199907,8.507123349199906,63.9928376349142
0.558,56.21428571428572,22.48571428571429,0.0,0.0,0,40,0.8507123349199907,8.507123349199906,63.9928376349142
0.559,56.21428571428572,22.48571428571429,0.0,0.0,0,40,0.8507123349199907,8.507123349199906,63.9928376349142
0.56,56.21428571428572,22.48571428571429,0.0,0.0,0,40,0.8507123349199907,8.507123349199906,63.9928376349142
0.561,56.21428571428572,22.48571428571429,0.0,0.0,0,40,0.8507123349199907,8.507123349199906,63.9928376349142
0.562,56.21428571428572,22.48571428571429,0.0,0.0,0,40,0.8507123349199907,8.507123349199906,63.9928376349142
0.5630000000000001,56.21428571428572,22.48571428571429,0.0,0.0,0,40,0.8507123349199907,8.507123349199906,63.9928376349142
0.5640000000000001,56.21428571428572,22.48571428571429,0.0,0.0,0,40,0.8507123349199907,8.507123349199906,63.9928376349142
0.5650000000000001,56.21428571428572,22.48571428571429,0.0,0.0,0,40,0.8507123349199907,8.507123349199906,63.9928376349142
0.565937116890564,56.21428571428572,22.48571428571429,0.04878048780487806,0.7317073170731708,0,39,0.830337410226376,8.30337410226376,64.52079570505123
0.5660000000000001,56.21428571428572,22.48571428571429,0.04878048780487806,0.7317073170731708,0,39,0.830337410226376,8.30337410226376,64.52079570505123
0.5670000000000001,56.21428571428572,22.48571428571429,0.04878048780487806,0.7317073170731708,0,39,0.830337410226376,8.30337410226376,64.52079570505123
